"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Kyle Hamilton (BAL)","7","2","3","1","0","1","0","0","1","34.5","34.5","46.9%"
"2","Brian Branch (DET)","11","0","0","2","0","0","0","0","1","27.0","27.0","37.8%"
"3","Alontae Taylor (NO)","5","0","1","5","0","0","0","0","1","24.0","24.0","2.7%"
"4","Levi Wallace (DEN)","4","2","0","4","2","0","0","0","1","23.5","23.5","1.3%"
"5","Jevon Holland (MIA)","7","1","0","1","0","2","0","0","1","20.8","20.8","20.0%"
"6","Dax Hill (CIN)","7","1","1","0","0","0","0","0","1","20.3","20.3","15.2%"
"7","Jessie Bates III (ATL)","6","5","0","1","1","0","0","0","1","19.3","19.3","69.3%"
"8","Reed Blankenship (PHI)","6","1","0","1","1","0","0","0","1","18.8","18.8","40.5%"
"9","Roger McCreary (TEN)","5","5","1","0","0","0","0","0","1","17.8","17.8","20.1%"
"10","Akayleb Evans (MIN)","7","4","0","0","0","1","0","0","1","17.5","17.5","3.1%"
"11","Devon Witherspoon (SEA)","8","3","0","2","0","0","0","0","1","17.3","17.3","42.2%"
"12","Brandon Stephens (BAL)","8","3","0","2","0","0","0","0","1","17.3","17.3","4.0%"
"13","Byron Murphy Jr. (MIN)","9","1","0","2","0","0","0","0","1","17.3","17.3","6.4%"
"14","Kendall Fuller (MIA)","2","6","0","3","1","0","0","0","1","17.0","17.0","6.0%"
"15","Sean Murphy-Bunting (ARI)","6","0","0","0","0","1","1","0","1","17.0","17.0","8.4%"
"16","Terell Smith (CHI)","7","3","0","1","0","0","0","0","1","16.8","16.8","0.4%"
"17","Kei'Trel Clark (ARI)","8","2","0","2","0","0","0","0","1","16.5","16.5","0.2%"
"18","Julian Blackmon (IND)","6","6","0","0","0","0","0","0","1","16.0","16.0","13.6%"
"19","Jordan Whitehead (TB)","9","1","0","1","0","0","0","0","1","15.8","15.8","15.6%"
"20","Alohi Gilman (LAC)","3","2","0","1","0","1","1","0","1","15.5","15.5","10.5%"
"21","Ryan Neal (FA)","6","5","0","0","0","0","0","0","1","15.3","15.3","1.9%"
"22","Amani Hooker (TEN)","9","2","0","0","0","0","0","0","1","15.0","15.0","14.2%"
"23","Kristian Fulton (LAC)","7","2","0","0","0","0","0","0","1","14.5","14.5","1.5%"
"24","Delarrin Turner-Yell (DEN)","8","3","0","0","0","0","0","0","1","14.3","14.3","0.4%"
"25","JuJu Brents (IND)","4","0","0","0","0","1","1","0","1","14.0","14.0","6.8%"
"26","Minkah Fitzpatrick (PIT)","7","4","0","0","0","0","0","0","1","13.5","13.5","37.1%"
"27","Michael Davis (WAS)","8","0","0","1","0","0","0","0","1","13.5","13.5","1.0%"
"28","Patrick Peterson (FA)","4","1","0","1","1","0","0","0","1","13.3","13.3","0.8%"
"29","Kyle Dugger (NE)","5","2","0","1","0","0","0","0","1","13.0","13.0","22.7%"
"30","Rudy Ford (FA)","6","1","0","2","0","0","0","0","1","12.8","12.8","3.8%"
"31","Shaq Griffin (MIN)","7","3","0","0","0","0","0","0","1","12.8","12.8","1.1%"
"32","Jabrill Peppers (NE)","6","1","0","0","0","0","0","0","1","12.3","12.3","9.2%"
"33","Rayshawn Jenkins (SEA)","6","1","0","0","0","0","0","0","1","12.3","12.3","23.9%"
"34","Camryn Bynum (MIN)","5","1","0","1","0","0","0","0","1","12.3","12.3","54.8%"
"35","Vonn Bell (CIN)","8","0","0","0","0","0","0","0","1","12.0","12.0","4.6%"
"36","Antoine Winfield Jr. (TB)","5","6","0","0","0","0","0","0","1","12.0","12.0","70.6%"
"37","Asante Samuel Jr. (LAC)","6","0","0","2","0","0","0","0","1","12.0","12.0","3.9%"
"38","Adrian Amos (FA)","6","1","0","1","0","0","0","0","1","11.3","11.3","0.1%"
