"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Aidan Hutchinson (DET)","5","0","3","0","0","1","0","0","1","33.5","33.5","54.7%"
"2","Josh Hines-Allen (JAC)","5","1","3","0","0","0","0","0","1","27.8","27.8","44.0%"
"3","Travon Walker (JAC)","6","0","2","0","0","0","0","0","1","22.0","22.0","11.2%"
"4","Sheldon Rankins (CIN)","2","0","1","0","0","0","1","1","1","22.0","22.0","1.7%"
"5","Kobie Turner (LAR)","3","2","2.5","0","0","0","0","0","1","21.0","21.0","8.5%"
"6","Jermaine Johnson II (NYJ)","3","0","0","1","1","0","1","1","1","21.0","21.0","8.7%"
"7","Aaron Donald (FA)","3","2","2","1","0","0","0","0","1","20.5","20.5","11.0%"
"8","Brian Burns (NYG)","5","3","1","0","0","0","0","0","1","18.8","18.8","41.7%"
"9","Zach Sieler (MIA)","3","2","1","0","0","1","0","0","1","16.5","16.5","25.1%"
"10","Will Anderson Jr. (HOU)","2","0","2","0","0","0","0","0","1","16.0","16.0","19.3%"
"11","Ed Oliver (BUF)","2","0","1","1","1","0","0","0","1","16.0","16.0","21.2%"
"12","George Karlaftis III (KC)","4","1","1.5","0","0","0","0","0","1","15.3","15.3","12.6%"
"13","Byron Young (LAR)","4","0","1","0","0","0","0","0","1","15.0","15.0","32.6%"
"14","Derek Barnett (HOU)","2","4","1.5","0","0","0","0","0","1","14.5","14.5","0.9%"
"15","Leonard Williams (SEA)","3","3","1","0","0","0","0","0","1","13.3","13.3","10.3%"
"16","Maxx Crosby (LV)","3","3","0","0","0","1","0","0","1","13.3","13.3","69.3%"
"17","Deatrich Wise Jr. (NE)","2","2","1","0","0","1","0","0","1","12.5","12.5","2.7%"
"18","DeMarcus Lawrence (DAL)","3","2","0","1","0","0","0","0","1","12.5","12.5","11.8%"
"19","Gervon Dexter Sr. (CHI)","3","2","1.5","0","0","0","0","0","1","12.0","12.0","1.5%"
"20","Charles Omenihu (KC)","3","2","0.5","1","0","0","0","0","1","12.0","12.0","0.8%"
"21","DeForest Buckner (IND)","3","1","1","0","0","0","0","0","1","11.8","11.8","46.4%"
"22","John Jenkins (LV)","5","2","0","0","0","0","0","0","1","11.5","11.5","1.2%"
"23","Myles Garrett (CLE)","3","0","1","0","0","0","0","0","1","11.0","11.0","63.2%"
"24","Justin Madubuike (BAL)","1","4","1","0","0","0","0","0","1","11.0","11.0","24.1%"
"25","Dorance Armstrong Jr. (WAS)","3","0","1","0","0","0","0","0","1","11.0","11.0","3.5%"
"26","Pat Jones II (MIN)","5","4","0","0","0","0","0","0","1","10.5","10.5","0.3%"
"27","Jihad Ward (MIN)","2","1","1","0","0","0","0","0","1","10.3","10.3","0.1%"
"28","Nick Bosa (SF)","2","1","0","1","0","0","0","0","1","10.3","10.3","62.7%"
"29","Sam Hubbard (CIN)","3","2","0","0","0","0","1","0","1","10.0","10.0","21.2%"
"30","Derrick Brown (CAR)","3","5","0","1","0","0","0","0","1","9.8","9.8","39.1%"
"31","Adam Butler (LV)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.6%"
"32","Trey Hendrickson (CIN)","1","0","1","0","0","1","0","0","1","9.5","9.5","34.8%"
"33","Yetur Gross-Matos (SF)","1","2","1","0","0","0","0","0","1","9.5","9.5","1.2%"
"34","Markees Watts (TB)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.1%"
"35","Alex Wright (CLE)","1","0","1","1","0","0","0","0","1","9.5","9.5","0.5%"
"36","Jerry Hughes (HOU)","1","0","1","0","0","1","0","0","1","9.5","9.5","0.6%"
"37","Anthony Nelson (TB)","3","1","0","1","0","0","0","0","1","9.3","9.3","0.3%"
"38","Kurt Hinish (HOU)","1","2","0.5","1","0","0","0","0","1","9.0","9.0","1.0%"
"39","Tyquan Lewis (IND)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.3%"
"40","Bryan Bresee (NO)","1","1","1","0","0","0","0","0","1","8.8","8.8","3.1%"
"41","Tershawn Wharton (KC)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.3%"
"42","Clelin Ferrell (WAS)","1","1","1","0","0","0","0","0","1","8.8","8.8","1.5%"
"43","D.J. Jones (DEN)","2","2","0","0","0","1","0","0","1","8.5","8.5","4.0%"
"44","Milton Williams (PHI)","2","2","0","0","0","1","0","0","1","8.5","8.5","1.8%"
"45","Zach Harrison (ATL)","4","0","0","0","0","0","0","0","1","8.5","8.5","1.0%"
"46","Odafe Oweh (BAL)","1","0","1","0","0","0","0","0","1","8.0","8.0","5.6%"
"47","Yaya Diaby (TB)","2","0","0","0","0","0","0","0","1","8.0","8.0","7.4%"
"48","Chris Jones (KC)","1","0","1","0","0","0","0","0","1","8.0","8.0","24.9%"
"49","Michael Hoecht (LAR)","2","4","0.5","0","0","0","0","0","1","8.0","8.0","13.0%"
"50","Jalen Carter (PHI)","1","0","1","0","0","0","0","0","1","8.0","8.0","13.3%"
"51","Jonathon Cooper (DEN)","1","0","1","0","0","0","0","0","1","8.0","8.0","15.3%"
"52","Roy Robertson-Harris (JAC)","1","0","1","0","0","0","0","0","1","8.0","8.0","1.2%"
"53","Derick Hall (SEA)","2","3","0","0","0","0","0","0","1","7.8","7.8","0.6%"
"54","Josh Sweat (PHI)","4","2","0","0","0","0","0","0","1","7.5","7.5","13.9%"
"55","Rakeem Nunez-Roches (NYG)","3","1","0.5","0","0","0","0","0","1","7.3","7.3","0.9%"
"56","Brandon Graham (PHI)","2","2","0","0","0","0","0","0","1","7.0","7.0","1.8%"
"57","Joshua Uche (NE)","2","2","0","0","0","0","0","0","1","7.0","7.0","0.8%"
"58","Christian Barmore (NE)","3","3","0","0","0","0","0","0","1","6.8","6.8","15.0%"
"59","Vita Vea (TB)","3","3","0","0","0","0","0","0","1","6.8","6.8","5.2%"
"60","Quinnen Williams (NYJ)","2","1","0","0","0","0","0","0","1","6.3","6.3","26.3%"
"61","BJ Ojulari (ARI)","3","2","0","0","0","0","0","0","1","6.0","6.0","2.4%"
"62","Khyiris Tonga (ARI)","2","4","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"63","Lawrence Guy Sr. (FA)","3","2","0","0","0","0","0","0","1","6.0","6.0","4.0%"
"64","Nik Bonitto (DEN)","2","0","0","0","0","0","0","0","1","5.5","5.5","1.9%"
"65","Dexter Lawrence II (NYG)","2","0","0","0","0","0","0","0","1","5.5","5.5","12.1%"
"66","Calais Campbell (MIA)","2","0","0","0","0","0","0","0","1","5.5","5.5","3.7%"
"67","Grover Stewart (IND)","2","0","0","0","0","0","0","0","1","5.5","5.5","3.0%"
"68","Jonathan Allen (WAS)","2","3","0","0","0","0","0","0","1","5.3","5.3","14.6%"
"69","Harrison Phillips (MIN)","1","3","0","1","0","0","0","0","1","5.3","5.3","22.4%"
"70","A'Shawn Robinson (CAR)","2","3","0","0","0","0","0","0","1","5.3","5.3","3.8%"
