"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Chicago Bears (CHI)","1","3","0","0","1","0","0","1","17.0","17.0","31.0%"
"2","Cleveland Browns (CLE)","4","1","3","3","1","0","0","1","16.0","16.0","94.3%"
"3","Baltimore Ravens (BAL)","5","1","0","2","0","0","0","1","14.0","14.0","87.6%"
"4","New York Giants (NYG)","6","1","0","0","0","0","0","1","14.0","14.0","3.1%"
"5","Miami Dolphins (MIA)","3","1","1","1","1","0","0","1","12.0","12.0","69.0%"
"6","Atlanta Falcons (ATL)","3","1","1","2","0","0","0","1","11.0","11.0","16.5%"
"7","Philadelphia Eagles (PHI)","4","1","0","0","0","0","0","1","10.0","10.0","50.8%"
"8","Kansas City Chiefs (KC)","5","2","0","0","0","0","0","1","10.0","10.0","76.9%"
"9","Jacksonville Jaguars (JAC)","1","1","0","1","1","0","0","1","9.0","9.0","47.1%"
"10","Arizona Cardinals (ARI)","2","1","2","0","0","0","0","1","9.0","9.0","0.8%"
"11","Washington Commanders (WAS)","4","0","2","1","0","0","0","1","9.0","9.0","8.1%"
"12","Seattle Seahawks (SEA)","4","0","0","1","0","0","0","1","8.0","8.0","27.1%"
"13","Minnesota Vikings (MIN)","1","2","1","1","0","0","0","1","8.0","8.0","11.6%"
"14","Tampa Bay Buccaneers (TB)","1","0","2","2","0","0","0","1","6.0","6.0","20.7%"
"15","Indianapolis Colts (IND)","2","2","0","0","0","0","0","1","5.0","5.0","24.5%"
"16","New England Patriots (NE)","1","1","1","1","0","0","0","1","5.0","5.0","13.3%"
"17","Pittsburgh Steelers (PIT)","2","1","0","0","0","0","0","1","5.0","5.0","76.5%"
"18","New Orleans Saints (NO)","0","0","2","1","0","0","0","1","4.0","4.0","63.8%"
"19","Las Vegas Raiders (LV)","2","0","0","1","0","0","0","1","4.0","4.0","21.8%"
"20","Los Angeles Chargers (LAC)","1","1","1","1","0","0","0","1","4.0","4.0","16.6%"
"21","Denver Broncos (DEN)","0","1","0","0","0","0","0","1","3.0","3.0","34.5%"
"22","Los Angeles Rams (LAR)","2","0","0","1","0","0","0","1","2.0","2.0","21.1%"
"23","San Francisco 49ers (SF)","0","1","0","0","0","0","0","1","2.0","2.0","98.1%"
"24","Green Bay Packers (GB)","1","0","0","0","0","0","0","1","2.0","2.0","26.0%"
"25","Buffalo Bills (BUF)","1","0","1","0","0","0","0","1","2.0","2.0","62.6%"
"26","Tennessee Titans (TEN)","0","0","0","0","0","0","0","0","0","0","3.5%"
"27","New York Jets (NYJ)","0","0","0","0","0","0","0","0","0","0","82.8%"
"28","Carolina Panthers (CAR)","0","0","0","0","0","0","0","0","0","0","2.9%"
"29","Cincinnati Bengals (CIN)","0","0","0","0","0","0","0","0","0","0","48.7%"
"30","Dallas Cowboys (DAL)","0","0","0","0","0","0","0","0","0","0","93.2%"
"31","Houston Texans (HOU)","0","0","0","0","0","0","0","0","0","0","29.8%"
"32","Detroit Lions (DET)","0","0","1","0","0","0","0","1","-2.0","-2.0","44.0%"
""
""
