"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Nick Folk (TEN)","5","5","100.0","50","0","2","1","1","1","0","0","1","18.0","18.0","9.4%"
"2","Jake Elliott (PHI)","4","4","100.0","56","0","0","1","1","2","1","2","1","18.0","18.0","93.7%"
"3","Brett Maher (FA)","3","5","60.0","54","0","0","1","1","1","3","3","1","15.0","15.0","0.6%"
"4","Jake Moody (SF)","3","3","100.0","41","0","0","1","2","0","3","3","1","14.0","14.0","69.4%"
"5","Jason Sanders (MIA)","3","3","100.0","45","0","1","0","2","0","3","4","1","14.0","14.0","46.2%"
"6","Tyler Bass (BUF)","3","3","100.0","50","0","0","1","1","1","1","1","1","13.0","13.0","47.3%"
"7","Blake Grupe (NO)","3","3","100.0","52","0","1","1","0","1","1","1","1","12.0","12.0","3.8%"
"8","Cameron Dicker (LAC)","2","2","100.0","50","0","1","0","0","1","4","4","1","12.0","12.0","45.5%"
"9","Dustin Hopkins (CLE)","3","3","100.0","43","0","0","1","2","0","1","1","1","12.0","12.0","30.3%"
"10","Matt Prater (ARI)","3","3","100.0","54","0","1","1","0","1","1","1","1","12.0","12.0","1.7%"
"11","Greg Zuerlein (NYJ)","3","3","100.0","43","0","1","1","1","0","1","1","1","11.0","11.0","41.9%"
"12","Brandon Aubrey (DAL)","2","2","100.0","38","0","1","1","0","0","4","5","1","10.0","10.0","96.9%"
"13","Anders Carlson (GB)","1","1","100.0","52","0","0","0","0","1","5","5","1","10.0","10.0","2.0%"
"14","Chase McLaughlin (TB)","2","2","100.0","57","0","0","1","0","1","2","2","1","10.0","10.0","6.7%"
"15","Ka'imi Fairbairn (HOU)","3","3","100.0","38","0","0","3","0","0","0","0","1","9.0","9.0","48.8%"
"16","Joey Slye (NE)","2","2","100.0","33","0","0","2","0","0","2","2","1","8.0","8.0","0.6%"
"17","Harrison Butker (KC)","2","2","100.0","39","0","0","2","0","0","2","2","1","8.0","8.0","95.5%"
"18","Brandon McManus (FA)","1","1","100.0","45","0","0","0","1","0","4","4","1","8.0","8.0","18.2%"
"19","Jason Myers (SEA)","2","3","66.7","42","0","0","1","1","0","1","1","1","8.0","8.0","31.7%"
"20","Younghoe Koo (ATL)","1","1","100.0","49","0","0","0","1","0","3","3","1","7.0","7.0","65.7%"
"21","Cairo Santos (CHI)","2","2","100.0","47","0","1","0","1","0","0","0","1","7.0","7.0","23.4%"
"22","Eddy Pineiro (CAR)","1","1","100.0","43","0","0","0","1","0","1","1","1","5.0","5.0","1.4%"
"23","Greg Joseph (GB)","1","1","100.0","25","0","1","0","0","0","2","2","1","5.0","5.0","3.7%"
"24","Justin Tucker (BAL)","1","1","100.0","39","0","0","1","0","0","2","2","1","5.0","5.0","98.8%"
"25","Daniel Carlson (LV)","1","1","100.0","24","0","1","0","0","0","2","2","1","5.0","5.0","24.2%"
"26","Evan McPherson (CIN)","1","2","50.0","42","0","0","0","1","0","0","0","1","4.0","4.0","83.1%"
"27","Wil Lutz (DEN)","1","2","50.0","24","0","1","0","0","0","1","2","1","4.0","4.0","10.3%"
"28","Riley Patterson (JAC)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","13.1%"
"29","Matt Gay (IND)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","35.5%"
"30","Chad Ryland (NE)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","0.4%"
"31","Chris Boswell (PIT)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","17.1%"
"32","Ramiz Ahmed (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"33","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Michael Badgley (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1%"
"35","Austin Seibert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"36","Tanner Brown (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"37","Jude McAtamney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Spencer Shrader (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","James Turner (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
