"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Ivan Pace Jr. (MIN)","7","6","1","1","1","0","0","0","1","28.0","28.0","14.8%"
"2","Harold Landry III (TEN)","4","1","3","0","0","0","0","0","1","26.3","26.3","23.2%"
"3","Alex Singleton (DEN)","10","4","1","1","0","0","0","0","1","26.0","26.0","63.4%"
"4","Robert Spillane (LV)","7","3","1","0","0","0","0","0","1","21.8","21.8","32.4%"
"5","Josey Jewell (CAR)","4","5","1","1","0","0","1","0","1","21.8","21.8","28.8%"
"6","Demario Davis (NO)","5","4","1.5","1","0","0","0","0","1","20.5","20.5","20.4%"
"7","Kenneth Murray Jr. (TEN)","9","3","1","0","0","0","0","0","1","19.8","19.8","14.2%"
"8","Ernest Jones IV (LAR)","6","4","1","1","0","0","0","0","1","17.5","17.5","59.8%"
"9","Zaire Franklin (IND)","6","8","0","0","0","0","0","0","1","17.5","17.5","92.4%"
"10","Jeremiah Owusu-Koramoah (CLE)","8","0","0","0","0","0","0","0","1","17.0","17.0","26.8%"
"11","Christian Harris (HOU)","7","3","0","0","0","1","0","0","1","16.8","16.8","10.6%"
"12","Jahlani Tavai (NE)","8","6","0","0","0","0","0","0","1","16.5","16.5","5.9%"
"13","Tremaine Edmunds (CHI)","4","2","0","1","1","0","0","0","1","16.5","16.5","32.4%"
"14","Roquan Smith (BAL)","5","5","0","0","0","0","0","0","1","16.3","16.3","90.7%"
"15","Fred Warner (SF)","4","4","0","1","1","0","0","0","1","15.5","15.5","90.4%"
"16","Devin Lloyd (JAC)","4","7","0","0","0","0","1","0","1","15.3","15.3","24.1%"
"17","Germaine Pratt (CIN)","4","6","0.5","0","0","0","0","0","1","15.0","15.0","15.8%"
"18","David Long Jr. (MIA)","5","3","0","0","0","0","0","0","1","14.8","14.8","6.9%"
"19","Elandon Roberts (PIT)","2","4","1","1","0","0","0","0","1","14.0","14.0","14.4%"
"20","Anthony Walker Jr. (MIA)","3","2","0","0","0","1","1","0","1","14.0","14.0","3.3%"
"21","Andre Smith Jr. (DEN)","5","3","0","0","0","1","0","0","1","13.8","13.8","0.1%"
"22","Nick Bolton (KC)","5","3","0","1","0","0","0","0","1","13.8","13.8","53.0%"
"23","Anfernee Jennings (NE)","4","0","0","0","0","0","0","0","1","13.5","13.5","3.8%"
"24","T.J. Edwards (CHI)","3","1","0","1","0","0","1","0","1","13.3","13.3","78.7%"
"25","Tyrel Dodson (SEA)","6","2","0","0","0","0","0","0","1","13.0","13.0","7.8%"
"26","Kaden Elliss (ATL)","7","3","0","0","0","0","0","0","1","12.8","12.8","14.3%"
"27","Azeez Al-Shaair (HOU)","7","3","0","0","0","0","0","0","1","12.8","12.8","42.4%"
"28","Bobby Wagner (WAS)","5","0","0","0","0","0","0","0","1","12.5","12.5","72.3%"
"29","Eric Kendricks (DAL)","3","2","1","0","0","0","0","0","1","12.5","12.5","30.8%"
"30","Logan Wilson (CIN)","4","6","0","1","0","0","0","0","1","12.0","12.0","62.2%"
"31","Mack Wilson Sr. (ARI)","2","1","1","1","0","0","0","0","1","11.8","11.8","3.6%"
"32","Kyle Van Noy (BAL)","3","1","0","1","0","0","0","0","1","11.8","11.8","7.4%"
"33","Isaiah McDuffie (GB)","5","2","0","0","0","0","0","0","1","11.5","11.5","3.7%"
"34","Foyesade Oluokun (JAC)","5","2","0","0","0","0","0","0","1","11.5","11.5","94.3%"
"35","Jack Campbell (DET)","6","3","0","0","0","0","0","0","1","11.3","11.3","16.3%"
"36","Frankie Luvu (WAS)","2","2","1","0","0","0","0","0","1","11.0","11.0","42.9%"
"37","Bradley Chubb (MIA)","2","3","0","1","0","0","1","0","1","10.8","10.8","16.7%"
"38","Alex Anzalone (DET)","5","4","0","0","0","0","0","0","1","10.5","10.5","30.8%"
"39","Nicholas Morrow (BUF)","4","2","0","2","0","0","0","0","1","10.5","10.5","3.9%"
"40","Zach Cunningham (FA)","5","4","0","0","0","0","0","0","1","10.5","10.5","1.4%"
"41","K.J. Britt (TB)","4","4","0","1","0","0","0","0","1","10.5","10.5","8.9%"
"42","Nick Herbig (PIT)","4","2","0","0","0","0","0","0","1","10.0","10.0","2.8%"
"43","Quincy Williams (NYJ)","3","2","0","1","0","0","0","0","1","10.0","10.0","50.7%"
"44","Baron Browning (DEN)","4","0","0","1","0","0","0","0","1","10.0","10.0","5.3%"
"45","Damone Clark (DAL)","2","2","0","1","0","0","1","0","1","10.0","10.0","7.9%"
"46","D'Marco Jackson (NO)","0","0","0","0","0","0","1","1","1","10.0","10.0","0.2%"
"47","Za'Darius Smith (CLE)","1","0","1","1","0","0","0","0","1","9.5","9.5","4.9%"
"48","Troy Dye (LAC)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.1%"
"49","Mykal Walker (WAS)","1","2","0","1","1","0","0","0","1","9.5","9.5","1.1%"
"50","Micah Parsons (DAL)","2","0","1","0","0","0","0","0","1","9.5","9.5","77.5%"
"51","Jalen Reeves-Maybin (DET)","1","0","1","1","0","0","0","0","1","9.5","9.5","0.9%"
"52","Denzel Perryman (LAC)","1","3","0","2","0","0","0","0","1","9.3","9.3","10.2%"
"53","Terrel Bernard (BUF)","4","4","0","0","0","0","0","0","1","9.0","9.0","49.2%"
"54","Lavonte David (TB)","4","2","0","1","0","0","0","0","1","9.0","9.0","52.5%"
"55","T.J. Watt (PIT)","3","2","0","0","0","0","0","0","1","8.5","8.5","79.0%"
"56","Azeez Ojulari (NYG)","1","3","0.5","0","0","0","0","0","1","8.3","8.3","1.9%"
"57","Bobby Okereke (NYG)","5","1","0","0","0","0","0","0","1","8.3","8.3","79.5%"
"58","De'Vondre Campbell (SF)","4","2","0","0","0","0","0","0","1","7.5","7.5","19.9%"
"59","Duke Riley (MIA)","5","0","0","0","0","0","0","0","1","7.5","7.5","2.7%"
"60","Micah McFadden (NYG)","2","3","0.5","0","0","0","0","0","1","7.3","7.3","7.1%"
"61","Pete Werner (NO)","2","0","0","0","0","0","1","0","1","7.0","7.0","9.8%"
"62","Ogbo Okoronkwo (CLE)","2","0","1","0","0","0","0","0","1","7.0","7.0","2.0%"
"63","Patrick Queen (PIT)","3","3","0","0","0","0","0","0","1","6.8","6.8","43.1%"
"64","Jordyn Brooks (MIA)","3","3","0","0","0","0","0","0","1","6.8","6.8","24.1%"
"65","Ja'Whaun Bentley (NE)","2","5","0","0","0","0","0","0","1","6.8","6.8","14.4%"
"66","C.J. Mosley (NYJ)","2","2","0","1","0","0","0","0","1","6.0","6.0","64.2%"
"67","Jack Gibbens (TEN)","3","2","0","0","0","0","0","0","1","6.0","6.0","5.5%"
"68","Willie Gay Jr. (NO)","4","0","0","0","0","0","0","0","1","6.0","6.0","6.3%"
"69","Divine Deablo (LV)","3","2","0","0","0","0","0","0","1","6.0","6.0","12.5%"
"70","Derrick Barnes (DET)","2","4","0","0","0","0","0","0","1","6.0","6.0","7.4%"
"71","Zack Baun (PHI)","2","0","0","0","0","0","0","0","1","5.5","5.5","1.5%"
"72","Nephi Sewell (NO)","1","0","0","0","0","1","0","0","1","5.5","5.5","0.6%"
"73","Christian Rozeboom (LAR)","1","1","0","0","0","0","0","0","1","4.8","4.8","3.7%"
"74","Blake Martinez (FA)","2","2","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"75","Andrew Van Ginkel (MIN)","2","2","0","0","0","0","0","0","1","4.5","4.5","10.4%"
"76","Shaquil Barrett (FA)","2","2","0","0","0","0","0","0","1","4.5","4.5","6.7%"
"77","Blake Cashman (MIN)","3","0","0","0","0","0","0","0","1","4.5","4.5","13.4%"
"78","Dre Greenlaw (SF)","2","2","0","0","0","0","0","0","1","4.5","4.5","37.0%"
"79","Deion Jones (BUF)","1","0","0","0","0","0","0","0","1","4.0","4.0","2.0%"
"80","Jack Sanborn (CHI)","1","0","0","0","0","0","0","0","1","4.0","4.0","3.3%"
"81","Khalil Mack (LAC)","1","1","0","1","0","0","0","0","1","3.8","3.8","52.3%"
"82","Joe Tryon-Shoyinka (TB)","2","1","0","0","0","0","0","0","1","3.8","3.8","1.9%"
"83","Lorenzo Carter (ATL)","2","1","0","0","0","0","0","0","1","3.8","3.8","1.4%"
"84","Tony Fields II (CLE)","2","0","0","0","0","0","0","0","1","3.0","3.0","1.1%"
"85","Alex Highsmith (PIT)","2","0","0","0","0","0","0","0","1","3.0","3.0","24.4%"
"86","Akeem Davis-Gaither (CIN)","2","0","0","0","0","0","0","0","1","3.0","3.0","1.9%"
"87","Leo Chenal (KC)","1","2","0","0","0","0","0","0","1","3.0","3.0","6.1%"
"88","Justin Hollins (FA)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"89","Rashan Gary (GB)","1","1","0","0","0","0","0","0","1","2.3","2.3","10.2%"
"90","Samson Ebukam (IND)","1","1","0","0","0","0","0","0","1","2.3","2.3","8.2%"
"91","Shaquille Leonard (FA)","1","1","0","0","0","0","0","0","1","2.3","2.3","21.3%"
"92","Drew Sanders (DEN)","1","1","0","0","0","0","0","0","1","2.3","2.3","6.6%"
"93","Mark Robinson (PIT)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.6%"
"94","Sam Eguavoen (NYJ)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"95","Dorian Williams (BUF)","1","0","0","0","0","0","0","0","1","1.5","1.5","4.5%"
"96","Jake Hansen (HOU)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"97","Troy Reeder (LAR)","1","0","0","0","0","0","0","0","1","1.5","1.5","1.2%"
"98","Leonard Floyd (SF)","1","0","0","0","0","0","0","0","1","1.5","1.5","4.8%"
"99","Isaiah Simmons (NYG)","1","0","0","0","0","0","0","0","1","1.5","1.5","5.8%"
"100","Eric Wilson (GB)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.5%"
"101","Cameron McGrone (IND)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"102","Kamu Grugier-Hill (MIN)","1","0","0","0","0","0","0","0","1","1.5","1.5","6.6%"
"103","Sione Takitaki (NE)","0","2","0","0","0","0","0","0","1","1.5","1.5","3.6%"
"104","Marquis Haynes Sr. (FA)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.6%"
"105","Oren Burks (PHI)","0","1","0","0","0","0","0","0","1","0.8","0.8","2.9%"
"106","Jack Cochrane (KC)","0","1","0","0","0","0","0","0","1","0.8","0.8","1.0%"
"107","Jamien Sherwood (NYJ)","0","1","0","0","0","0","0","0","1","0.8","0.8","2.4%"
"108","Markus Bailey (ARI)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"109","Preston Smith (GB)","0","1","0","0","0","0","0","0","1","0.8","0.8","9.9%"
"110","Bud Dupree (LAC)","0","1","0","0","0","0","0","0","1","0.8","0.8","1.1%"
"111","Jonas Griffith (DEN)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"112","Sam Franklin Jr. (CAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"113","Ross Matiscik (JAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"114","Liam McCullough (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Javin White (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Michael Hoecht (LAR)","4","3","0","0","0","0","0","0","1","0.0","0.0","13.0%"
"117","Jeremiah Trotter Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"118","Cody Barton (DEN)","0","0","0","0","0","0","0","0","0","0","0","11.3%"
"119","David Long Jr. (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Anthony Nelson (TB)","2","2","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"121","Ty Summers (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","L.J. Collier (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"123","Drue Tranquill (KC)","0","0","0","0","0","0","0","0","0","0","0","11.6%"
"124","Jacob Bobenmoyer (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Del'Shawn Phillips (HOU)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"126","Nick Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Demetrius Flannigan-Fowles (SF)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"128","E.J. Speed (IND)","0","0","0","0","0","0","0","0","0","0","0","40.0%"
"129","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Cole Holcomb (PIT)","0","0","0","0","0","0","0","0","0","0","0","8.5%"
"131","Joe Giles-Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Dennis Gardeck (ARI)","0","0","0","0","0","0","0","0","0","0","0","2.8%"
"133","Tae Davis (CAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"134","Ezekiel Turner (SF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"135","Devin Bush Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"136","Josh Hines-Allen (JAC)","5","0","0","0","0","0","0","0","1","0.0","0.0","44.0%"
"137","Devin White (PHI)","0","0","0","0","0","0","0","0","0","0","0","21.2%"
"138","Jachai Polite (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Brian Burns (NYG)","1","0","0","0","0","0","0","0","1","0.0","0.0","41.7%"
"140","Oshane Ximines (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","LaCale London (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"143","Carlo Kemp (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Krys Barnes (ARI)","0","0","0","0","0","0","0","0","0","0","0","6.9%"
"145","Casey Toohill (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"146","Tomon Fox (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Janarius Robinson (LV)","1","0","1","0","0","0","0","0","1","0.0","0.0","0.1%"
"148","Justin Strnad (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"149","Cam Gill (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Khaleke Hudson (NO)","0","0","0","0","0","0","0","0","0","0","0","2.3%"
"151","Blake Lynch (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"152","Blake Ferguson (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Kristian Welch (GB)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"154","Cole Christiansen (KC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"155","Willie Harvey Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Anthony Pittman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Jordan Kunaszyk (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"158","Luke Gifford (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Curtis Bolton (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"160","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Yetur Gross-Matos (SF)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"162","D.J. Wonnum (CAR)","3","2","1","0","0","0","0","0","1","0.0","0.0","11.5%"
"163","Monty Rice (NO)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"164","Carter Coughlin (NYG)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Keandre Jones (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Cam Brown (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"167","Julian Okwara (PHI)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"168","Malik Harrison (BAL)","0","0","0","0","0","0","0","0","0","0","0","4.2%"
"169","K'Lavon Chaisson (CAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"170","Terrell Lewis (PHI)","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"171","Joshua Uche (NE)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"172","Darrell Taylor (SEA)","0","1","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"173","Jacob Phillips (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"174","Trevis Gipson (JAC)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"175","Joe Bachie (CIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"176","Benton Whitley (NYG)","0","0","0","0","0","0","1","0","1","0.0","0.0","0.0%"
"177","Jacob Hummel (LAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Keir Thomas (LAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"179","Kana'i Mauga (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Markquese Bell (DAL)","3","1","0","1","0","1","0","0","1","0.0","0.0","9.5%"
"181","Owen Carney Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","William Kwenkeu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"183","Zaire Barnes (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"184","David Perales (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Andrew Farmer II (LAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
