"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Lamar Jackson (BAL)","24","43","55.8","316","7.3","3","1","2","11","70","0","0","1","32.6","32.6","99.3%"
"2","Desmond Ridder (ARI)","26","40","65.0","347","8.7","1","1","3","4","15","1","0","1","26.4","26.4","3.7%"
"3","Justin Fields (PIT)","19","33","57.6","223","6.8","1","0","3","12","58","1","0","1","24.7","24.7","49.5%"
"4","Jake Browning (CIN)","18","24","75.0","275","11.5","2","1","0","3","7","1","0","1","24.7","24.7","20.7%"
"5","Matthew Stafford (LAR)","23","41","56.1","294","7.2","3","0","2","1","-1","0","0","1","23.7","23.7","55.8%"
"6","Brock Purdy (SF)","19","27","70.4","368","13.6","2","1","3","2","7","0","0","1","22.4","22.4","91.7%"
"7","Bailey Zappe (NE)","19","28","67.9","240","8.6","3","1","2","3","13","0","0","1","21.9","21.9","1.1%"
"8","Mitchell Trubisky (BUF)","22","35","62.9","190","5.4","1","1","2","8","30","1","0","1","21.6","21.6","1.1%"
"9","Josh Allen (BUF)","23","42","54.8","233","5.5","1","1","3","10","32","1","0","1","21.5","21.5","99.9%"
"10","Joe Flacco (IND)","26","45","57.8","311","6.9","3","1","1","4","-1","0","1","1","21.3","21.3","17.3%"
"11","Trevor Lawrence (JAC)","28","50","56.0","257","5.1","3","3","4","3","11","0","0","1","20.4","20.4","66.4%"
"12","Baker Mayfield (TB)","14","29","48.3","144","5.0","2","0","1","3","3","1","0","1","20.1","20.1","44.6%"
"13","Zach Wilson (DEN)","27","36","75.0","301","8.4","2","0","4","3","12","0","1","1","19.2","19.2","2.2%"
"14","Dak Prescott (DAL)","24","39","61.5","271","6.9","2","0","3","3","11","0","1","1","17.9","17.9","96.4%"
"15","Will Levis (TEN)","23","38","60.5","327","8.6","1","1","1","4","15","0","1","1","17.6","17.6","10.3%"
"16","Tommy DeVito (NYG)","17","21","81.0","158","7.5","1","0","0","10","71","0","0","1","17.4","17.4","3.1%"
"17","Drew Lock (NYG)","22","31","71.0","269","8.7","2","2","4","3","5","0","0","1","17.3","17.3","1.7%"
"18","Russell Wilson (PIT)","21","33","63.6","224","6.8","2","1","2","6","5","0","0","1","16.5","16.5","30.3%"
"19","Gardner Minshew II (LV)","26","39","66.7","240","6.2","1","1","3","2","5","0","0","1","15.1","15.1","16.7%"
"20","Patrick Mahomes II (KC)","25","43","58.1","271","6.3","1","1","1","1","8","0","0","1","14.6","14.6","99.4%"
"21","Derek Carr (NO)","18","26","69.2","119","4.6","2","1","1","0","0","0","0","1","11.8","11.8","25.0%"
"22","Jordan Love (GB)","25","39","64.1","218","5.6","1","1","2","2","2","0","1","1","9.9","9.9","86.0%"
"23","Tua Tagovailoa (MIA)","23","33","69.7","240","7.3","0","0","5","3","15","0","1","1","9.1","9.1","78.9%"
"24","Jalen Hurts (PHI)","18","27","66.7","197","7.3","0","0","1","5","30","0","1","1","8.9","8.9","99.9%"
"25","Jared Goff (DET)","20","35","57.1","161","4.6","1","2","4","1","0","0","0","1","8.4","8.4","70.2%"
"26","Bryce Young (CAR)","13","36","36.1","137","3.8","0","0","4","3","40","0","1","1","7.5","7.5","9.1%"
"27","Aidan O'Connell (LV)","21","32","65.6","171","5.3","0","1","4","1","2","0","0","1","6.0","6.0","2.9%"
"28","Easton Stick (LAC)","13","24","54.2","179","7.5","0","0","2","0","0","0","1","1","5.2","5.2","1.6%"
"29","Joshua Dobbs (SF)","10","23","43.5","63","2.7","0","0","5","5","21","0","0","1","4.6","4.6","11.2%"
"30","C.J. Stroud (HOU)","10","23","43.5","91","4.0","0","0","4","0","0","0","0","1","3.6","3.6","93.0%"
"31","Nick Mullens (MIN)","9","13","69.2","83","6.4","0","0","0","0","0","0","0","1","3.3","3.3","4.1%"
"32","Justin Herbert (LAC)","9","17","52.9","96","5.6","0","1","4","0","0","0","0","1","2.8","2.8","61.3%"
"33","Dorian Thompson-Robinson (CLE)","0","0","0","0","0","0","0","0","1","5","0","0","1","0.5","0.5","0.6%"
"34","Davis Mills (HOU)","1","5","20.0","4","0.8","0","0","1","0","0","0","0","1","0.2","0.2","0.1%"
"35","Joe Burrow (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.1%"
"36","Kenny Pickett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.8%"
"37","Jayden Daniels (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.7%"
"38","Bo Nix (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"39","Emory Jones (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"41","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"42","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"43","Tyler Huntley (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"44","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"47","Jacob Eason (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Mac Jones (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"49","Ian Book (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Aaron Rodgers (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.1%"
"51","Michael Pratt (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"52","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Tanner Mordecai (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Tyson Bagent (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"55","Jordan Travis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"56","Dresser Winn (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Rocky Lombardi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Casey Bauman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Zack Annexstad (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","John Paddock (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Andrew Peasley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Jason Bean (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Joe Milton III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"70","Carter Bradley (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Michael Penix Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"73","Max Duggan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Caleb Williams (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.5%"
"75","Kedon Slovis (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Spencer Rattler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"77","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"78","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.8%"
"79","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Sam Howell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.9%"
"81","Drake Maye (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1%"
"82","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"83","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Anthony Richardson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.9%"
"85","Malik Willis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"86","Stetson Bennett (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"87","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"88","Jaren Hall (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"89","Anthony Brown Jr. (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Andy Dalton (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"91","Tyrod Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"92","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Geno Smith (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.7%"
"97","Kirk Cousins (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.7%"
"98","Case Keenum (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"99","Josh Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"100","Mason Rudolph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"101","Taysom Hill (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.8%"
"102","Sam Darnold (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"103","Logan Woodside (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","P.J. Walker (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Nathan Peterman (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Deshaun Watson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.4%"
"107","C.J. Beathard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"108","Cooper Rush (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"109","Mike White (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"110","Kyler Murray (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.8%"
"111","Brett Rypien (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"113","Will Grier (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Daniel Jones (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.8%"
"115","Tim Boyle (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Kyle Allen (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
