"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rachaad White (TB)","20","73","3.7","16","0","2","4","4","46","11.5","0","0","1","23.9","23.9","97.5%"
"2","Josh Jacobs (GB)","26","98","3.8","15","0","2","0","0","0","0","0","0","1","21.8","21.8","97.2%"
"3","Keaton Mitchell (BAL)","9","138","15.3","60","2","1","1","1","-4","-4.0","0","0","1","19.4","19.4","17.1%"
"4","Austin Ekeler (WAS)","14","47","3.4","20","1","2","2","7","23","11.5","0","0","1","19.0","19.0","92.9%"
"5","Rhamondre Stevenson (NE)","9","87","9.7","64","1","1","4","6","42","10.5","0","0","1","18.9","18.9","85.2%"
"6","Gus Edwards (LAC)","5","52","10.4","42","1","2","0","0","0","0","0","0","1","17.2","17.2","80.5%"
"7","Derrick Henry (BAL)","17","75","4.4","15","0","1","3","4","27","9.0","0","0","1","16.2","16.2","99.4%"
"8","Alexander Mattison (LV)","16","44","2.8","8","0","0","2","2","49","24.5","1","0","1","15.3","15.3","41.5%"
"9","Raheem Mostert (MIA)","12","85","7.1","25","1","1","0","1","0","0","0","0","1","14.5","14.5","91.4%"
"10","Aaron Jones (MIN)","20","73","3.7","9","0","1","4","6","26","6.5","0","1","1","13.9","13.9","93.9%"
"11","Najee Harris (PIT)","16","69","4.3","25","1","1","2","4","7","3.5","0","0","1","13.6","13.6","91.3%"
"12","Jonathan Taylor (IND)","18","47","2.6","13","0","0","5","5","22","4.4","1","0","1","12.9","12.9","98.8%"
"13","Joe Mixon (HOU)","14","37","2.6","12","0","1","5","6","31","6.2","0","0","1","12.8","12.8","99.0%"
"14","Saquon Barkley (PHI)","16","90","5.6","26","1","0","3","4","23","7.7","0","0","1","11.3","11.3","100.0%"
"15","Jaylen Warren (PIT)","11","88","8.0","22","1","0","3","3","25","8.3","0","0","1","11.3","11.3","84.7%"
"16","Brian Robinson Jr. (WAS)","18","63","3.5","9","0","1","1","2","4","4.0","0","1","1","10.7","10.7","86.0%"
"17","Kareem Hunt (FA)","14","38","2.7","10","0","1","0","1","0","0","0","0","1","9.8","9.8","27.2%"
"18","Tyler Allgeier (ATL)","12","39","3.3","13","0","1","2","3","-9","-4.5","0","0","1","9.0","9.0","51.9%"
"19","Jerick McKinnon (FA)","1","2","2.0","2","0","0","2","2","22","11.0","1","0","1","8.4","8.4","16.1%"
"20","Kenneth Gainwell (PHI)","3","22","7.3","12","0","1","1","1","1","1.0","0","0","1","8.3","8.3","14.8%"
"21","D'Onta Foreman (CLE)","20","83","4.2","22","1","0","0","0","0","0","0","0","1","8.3","8.3","19.5%"
"22","Jerome Ford (CLE)","20","44","2.2","9","0","0","5","7","33","6.6","0","0","1","7.7","7.7","81.5%"
"23","Antonio Gibson (NE)","6","34","5.7","12","0","0","5","5","42","8.4","0","0","1","7.6","7.6","54.0%"
"24","D'Andre Swift (CHI)","18","43","2.4","8","0","0","2","2","31","15.5","0","0","1","7.4","7.4","94.0%"
"25","Alvin Kamara (NO)","9","26","2.9","13","0","0","4","5","44","11.0","0","0","1","7.0","7.0","98.2%"
"26","Chuba Hubbard (CAR)","16","58","3.6","20","1","0","4","6","9","2.3","0","0","1","6.7","6.7","49.0%"
"27","Isiah Pacheco (KC)","16","66","4.1","9","0","0","0","1","0","0","0","0","1","6.6","6.6","97.8%"
"28","Tony Pollard (TEN)","12","51","4.3","15","0","0","3","5","12","4.0","0","0","1","6.3","6.3","93.1%"
"29","Miles Sanders (CAR)","6","39","6.5","11","0","0","3","5","22","7.3","0","0","1","6.1","6.1","22.3%"
"30","Breece Hall (NYJ)","16","50","3.1","10","0","0","4","4","10","2.5","0","0","1","6.0","6.0","98.9%"
"31","Emanuel Wilson (GB)","4","43","10.8","31","1","0","0","0","0","0","0","0","1","4.3","4.3","0.1%"
"32","AJ Dillon (GB)","9","40","4.4","12","0","0","1","1","3","3.0","0","0","1","4.3","4.3","34.7%"
"33","Justice Hill (BAL)","13","40","3.1","9","0","0","0","1","0","0","0","0","1","4.0","4.0","10.1%"
"34","James Cook (BUF)","6","20","3.3","8","0","0","4","4","19","4.8","0","0","1","3.9","3.9","97.8%"
"35","Bijan Robinson (ATL)","11","51","4.6","14","0","0","2","4","8","4.0","0","1","1","3.9","3.9","99.9%"
"36","Jeff Wilson Jr. (MIA)","2","6","3.0","6","0","0","3","4","32","10.7","0","0","1","3.8","3.8","6.7%"
"37","Cam Akers (HOU)","8","25","3.1","19","0","0","3","3","13","4.3","0","0","1","3.8","3.8","9.2%"
"38","Darrell Henderson Jr. (FA)","10","19","1.9","6","0","0","2","2","16","8.0","0","0","1","3.5","3.5","5.0%"
"39","Ezekiel Elliott (DAL)","6","17","2.8","8","0","0","3","5","15","5.0","0","0","1","3.2","3.2","81.3%"
"40","Royce Freeman (DAL)","12","32","2.7","7","0","0","0","1","0","0","0","0","1","3.2","3.2","3.2%"
"41","Kendre Miller (NO)","1","0","0.0","0","0","0","1","1","31","31.0","0","0","1","3.1","3.1","16.7%"
"42","Dare Ogunbowale (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","3.0","3.0","0.3%"
"43","Devin Singletary (NYG)","13","26","2.0","9","0","0","2","2","0","0.0","0","0","1","2.6","2.6","83.9%"
"44","Zack Moss (CIN)","7","26","3.7","8","0","0","0","0","0","0","0","0","1","2.6","2.6","75.0%"
"45","Ameer Abdullah (LV)","2","8","4.0","5","0","0","2","2","17","8.5","0","0","1","2.5","2.5","0.7%"
"46","Michael Carter (ARI)","0","0","0","0","0","0","6","6","24","4.0","0","0","1","2.4","2.4","1.3%"
"47","Joshua Kelley (FA)","3","18","6.0","12","0","0","1","1","4","4.0","0","0","1","2.2","2.2","6.6%"
"48","Tyjae Spears (TEN)","5","18","3.6","8","0","0","4","6","4","1.0","0","0","1","2.2","2.2","64.5%"
"49","Darrynton Evans (BUF)","1","2","2.0","2","0","0","2","2","19","9.5","0","0","1","2.1","2.1","0.1%"
"50","Kenneth Walker III (SEA)","9","16","1.8","6","0","0","1","2","1","1.0","0","0","1","1.7","1.7","97.1%"
"51","Roschon Johnson (CHI)","2","6","3.0","4","0","0","1","1","9","9.0","0","0","1","1.5","1.5","13.8%"
"52","Trayveon Williams (CIN)","3","13","4.3","7","0","0","0","0","0","0","0","0","1","1.3","1.3","0.3%"
"53","Zach Charbonnet (SEA)","4","8","2.0","4","0","0","1","1","5","5.0","0","0","1","1.3","1.3","64.0%"
"54","Jamaal Williams (NO)","3","6","2.0","3","0","0","2","3","6","3.0","0","0","1","1.2","1.2","10.3%"
"55","Salvon Ahmed (MIA)","3","4","1.3","9","0","0","2","3","8","4.0","0","0","1","1.2","1.2","0.6%"
"56","Matt Breida (FA)","2","5","2.5","3","0","0","1","2","6","6.0","0","0","1","1.1","1.1","1.1%"
"57","Latavius Murray (FA)","2","4","2.0","2","0","0","1","1","6","6.0","0","0","1","1.0","1.0","7.6%"
"58","Rico Dowdle (DAL)","2","8","4.0","5","0","0","0","0","0","0","0","0","1","0.8","0.8","11.4%"
"59","Ke'Shawn Vaughn (FA)","4","9","2.3","4","0","0","1","1","-1","-1.0","0","0","1","0.8","0.8","0.1%"
"60","Rashaad Penny (CAR)","2","8","4.0","6","0","0","0","0","0","0","0","0","1","0.8","0.8","4.1%"
"61","Keaontay Ingram (KC)","9","8","0.9","11","0","0","0","0","0","0","0","0","1","0.8","0.8","1.1%"
"62","Dalvin Cook (FA)","2","7","3.5","4","0","0","1","2","1","1.0","0","0","1","0.8","0.8","9.3%"
"63","Nick Bawden (NYJ)","0","0","0","0","0","0","1","1","7","7.0","0","0","1","0.7","0.7","0.0%"
"64","Tony Jones Jr. (ARI)","3","2","0.7","4","0","0","2","3","5","2.5","0","0","1","0.7","0.7","0.0%"
"65","Raheem Blackshear (CAR)","1","0","0.0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.1%"
"66","Cordarrelle Patterson (PIT)","1","0","0.0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","1.4%"
"67","Mike Boone (CAR)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"68","Deon Jackson (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","1.0%"
"69","Pierre Strong Jr. (CLE)","3","9","3.0","4","0","0","1","1","-7","-7.0","0","0","1","0.2","0.2","0.6%"
"70","La'Mical Perine (PIT)","1","1","1.0","1","0","0","0","1","0","0","0","0","1","0.1","0.1","0.1%"
"71","Alec Ingold (MIA)","0","0","0","0","0","0","1","1","1","1.0","0","0","1","0.1","0.1","0.1%"
"72","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"73","Trey Sermon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"74","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.9%"
"75","J.K. Dobbins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.9%"
"76","Travis Etienne Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.7%"
"77","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"78","JaMycal Hasty (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"79","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"80","DeeJay Dallas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"81","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57.4%"
"82","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"83","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"85","Khari Blasingame (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"86","Andrew Beck (HOU)","0","0","0","0","0","0","2","2","5","2.5","0","0","1","0.0","0.0","0.1%"
"87","James Robinson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"88","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Jonathan Ward (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Elijah Collins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"93","Trey Benson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.7%"
"94","Xazavian Valladay (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"96","Evan Hull (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"97","Chase Brown (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.5%"
"98","DeWayne McBride (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"99","Jack Colletto (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Elijah Dotson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Lew Nichols III (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Emari Demercado (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"103","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Jabari Small (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Zonovan Knight (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"106","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Aaron Shampklin (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Tyreik McAllister (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"110","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Israel Abanikanda (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"113","Kimani Vidal (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"114","Louis Rees-Zammit (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
