"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam LaPorta (DET)","8","11","84","10.5","45","1","1","0","0","0","0","1","14.4","14.4","98.9%"
"2","Pharaoh Brown (SEA)","2","2","71","35.5","58","1","1","0","0","0","0","1","13.1","13.1","0.1%"
"3","Travis Kelce (KC)","7","8","69","9.9","24","1","1","0","0","0","0","1","12.9","12.9","99.9%"
"4","Donald Parham Jr. (LAC)","2","2","4","2.0","3","0","2","0","0","0","0","1","12.4","12.4","1.1%"
"5","Pat Freiermuth (PIT)","3","4","41","13.7","14","0","1","0","0","0","0","1","10.1","10.1","57.5%"
"6","George Kittle (SF)","7","9","90","12.9","29","1","0","0","0","0","0","1","9.0","9.0","97.5%"
"7","Brevin Jordan (HOU)","2","2","13","6.5","9","0","1","0","0","0","0","1","7.3","7.3","5.1%"
"8","Tyler Higbee (LAR)","5","5","71","14.2","22","1","0","0","0","0","0","1","7.1","7.1","19.5%"
"9","Jimmy Graham (FA)","1","1","8","8.0","8","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"10","Evan Engram (JAC)","7","8","67","9.6","28","1","0","0","0","0","0","1","6.7","6.7","96.4%"
"11","Josh Oliver (MIN)","2","2","4","2.0","4","0","1","0","0","0","0","1","6.4","6.4","0.6%"
"12","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.1%"
"13","T.J. Hockenson (MIN)","8","11","78","9.8","21","1","0","0","0","0","1","1","5.8","5.8","81.1%"
"14","Luke Musgrave (GB)","6","8","49","8.2","12","0","0","0","0","0","0","1","4.9","4.9","8.1%"
"15","Jake Ferguson (DAL)","5","7","48","9.6","12","0","0","0","0","0","0","1","4.8","4.8","89.5%"
"16","Noah Fant (SEA)","4","5","41","10.3","13","0","0","0","0","0","0","1","4.1","4.1","2.2%"
"17","Dallas Goedert (PHI)","5","7","41","8.2","13","0","0","0","0","0","0","1","4.1","4.1","89.3%"
"18","Colby Parkinson (LAR)","3","4","38","12.7","17","0","0","0","0","0","0","1","3.8","3.8","0.7%"
"19","Jonnu Smith (MIA)","5","8","37","7.4","12","0","0","0","0","0","0","1","3.7","3.7","8.0%"
"20","Kyle Pitts (ATL)","5","9","41","8.2","16","0","0","1","-4","0","0","1","3.7","3.7","88.3%"
"21","Cole Turner (WAS)","4","7","35","8.8","21","1","0","0","0","0","0","1","3.5","3.5","0.0%"
"22","Mark Andrews (BAL)","4","5","35","8.8","20","1","0","0","0","0","0","1","3.5","3.5","73.3%"
"23","Gerald Everett (CHI)","6","6","30","5.0","13","0","0","0","0","0","0","1","3.0","3.0","23.4%"
"24","Tanner Hudson (CIN)","2","4","30","15.0","26","1","0","0","0","0","0","1","3.0","3.0","2.6%"
"25","Tyler Conklin (NYJ)","3","5","26","8.7","18","0","0","0","0","0","0","1","2.6","2.6","16.7%"
"26","Cole Kmet (CHI)","2","2","22","11.0","14","0","0","0","0","0","0","1","2.2","2.2","69.8%"
"27","Taysom Hill (NO)","1","1","9","9.0","9","0","0","4","12","0","0","1","2.1","2.1","35.8%"
"28","Michael Mayer (LV)","0","1","0","0","0","0","0","0","0","0","0","1","2.0","2.0","4.4%"
"29","Darren Waller (FA)","3","7","20","6.7","9","0","0","0","0","0","0","1","2.0","2.0","45.4%"
"30","David Njoku (CLE)","4","4","20","5.0","7","0","0","0","0","0","0","1","2.0","2.0","93.6%"
"31","Isaiah Likely (BAL)","1","2","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","37.0%"
"32","Mike Gesicki (CIN)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","2.2%"
"33","Hunter Henry (NE)","2","5","17","8.5","9","0","0","0","0","0","0","1","1.7","1.7","15.1%"
"34","Cade Otton (TB)","1","2","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","16.5%"
"35","Durham Smythe (MIA)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.6%"
"36","Tommy Tremble (CAR)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.3%"
"37","John Bates (WAS)","2","2","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"38","Juwan Johnson (NO)","2","4","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","9.5%"
"39","Hayden Hurst (LAC)","1","3","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","2.2%"
"40","Drew Ogletree (IND)","1","2","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"41","Dawson Knox (BUF)","1","3","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","4.7%"
"42","Nate Adkins (DEN)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
