"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Keenan Allen (CHI)","8","10","111","13.9","42","1","2","0","0","0","0","1","23.1","23.1","91.0%"
"2","Mike Evans (TB)","6","8","171","28.5","70","4","1","0","0","0","0","1","23.1","23.1","98.1%"
"3","Tee Higgins (CIN)","8","12","89","11.1","20","1","2","0","0","0","0","1","20.9","20.9","94.1%"
"4","Nico Collins (HOU)","7","9","146","20.9","32","5","1","0","0","0","0","1","20.6","20.6","95.6%"
"5","DeVonta Smith (PHI)","4","5","131","32.8","63","2","1","0","0","0","0","1","19.1","19.1","98.0%"
"6","George Pickens (PIT)","4","10","127","31.8","71","3","1","0","0","0","0","1","18.7","18.7","87.2%"
"7","Josh Reynolds (DEN)","5","6","66","13.2","22","2","2","0","0","0","0","1","18.6","18.6","7.3%"
"8","Brandon Johnson (DEN)","2","3","66","33.0","50","1","2","0","0","0","0","1","18.6","18.6","2.0%"
"9","Marvin Mims Jr. (DEN)","2","2","113","56.5","60","2","1","2","10","0","0","1","18.3","18.3","7.2%"
"10","Tyler Lockett (SEA)","8","10","59","7.4","12","0","2","0","0","0","0","1","17.9","17.9","88.4%"
"11","Deebo Samuel Sr. (SF)","6","9","63","10.5","23","1","0","5","38","1","0","1","16.1","16.1","98.7%"
"12","Jayden Reed (GB)","4","8","37","9.3","10","0","2","0","0","0","0","1","15.7","15.7","77.3%"
"13","Gabe Davis (JAC)","6","7","92","15.3","40","1","1","0","0","0","0","1","15.2","15.2","53.0%"
"14","Puka Nacua (LAR)","15","20","147","9.8","20","1","0","2","4","0","0","1","15.1","15.1","96.9%"
"15","Davante Adams (LV)","6","8","84","14.0","21","1","1","0","0","0","0","1","14.4","14.4","99.9%"
"16","CeeDee Lamb (DAL)","11","13","143","13.0","31","4","0","0","0","0","0","1","14.3","14.3","100.0%"
"17","Garrett Wilson (NYJ)","2","8","83","41.5","68","1","1","0","0","0","0","1","14.3","14.3","97.8%"
"18","Justin Jefferson (MIN)","11","13","159","14.5","30","4","0","0","0","0","1","1","13.9","13.9","100.0%"
"19","Adam Thielen (CAR)","7","9","54","7.7","15","0","1","0","0","0","0","1","13.4","13.4","71.9%"
"20","Jordan Addison (MIN)","3","5","72","24.0","62","1","1","0","0","0","0","1","13.2","13.2","88.3%"
"21","Tank Dell (HOU)","7","10","72","10.3","23","1","1","0","0","0","0","1","13.2","13.2","60.3%"
"22","Skyy Moore (KC)","3","4","70","23.3","54","1","1","0","0","0","0","1","13.0","13.0","6.4%"
"23","Drake London (ATL)","6","8","67","11.2","24","2","1","0","0","0","0","1","12.7","12.7","93.1%"
"24","Nelson Agholor (BAL)","5","6","63","12.6","17","0","1","0","0","0","0","1","12.3","12.3","0.8%"
"25","Kalif Raymond (DET)","2","3","46","23.0","36","1","1","1","11","0","0","1","11.7","11.7","1.3%"
"26","Terry McLaurin (WAS)","5","6","54","10.8","30","1","1","0","0","0","0","1","11.4","11.4","90.3%"
"27","Hollywood Brown (KC)","6","10","54","9.0","22","1","1","0","0","0","0","1","11.4","11.4","79.0%"
"28","Christian Kirk (JAC)","11","14","110","10.0","45","1","0","0","0","0","0","1","11.0","11.0","70.8%"
"29","DJ Moore (CHI)","6","7","104","17.3","33","3","0","0","0","0","0","1","10.4","10.4","97.6%"
"30","Isaiah Hodgins (NYG)","4","5","40","10.0","12","0","1","0","0","0","0","1","10.0","10.0","0.6%"
"31","Dontayvion Wicks (GB)","2","4","40","20.0","32","1","1","0","0","0","0","1","10.0","10.0","7.1%"
"32","Tyreek Hill (MIA)","5","9","40","8.0","15","0","1","0","0","0","0","1","10.0","10.0","100.0%"
"33","Chase Claypool (BUF)","3","8","36","12.0","20","1","1","0","0","0","0","1","9.6","9.6","0.7%"
"34","K.J. Osborn (NE)","3","6","34","11.3","18","0","1","0","0","0","0","1","9.4","9.4","15.3%"
