"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Kenny Moore II (IND)","7","1","0","2","2","0","0","2","1","36.3","36.3","27.9%"
"2","Paulson Adebo (NO)","5","2","0","3","2","1","1","0","1","31.5","31.5","26.2%"
"3","Trent McDuffie (KC)","8","3","0","0","0","1","0","0","1","18.3","18.3","31.4%"
"4","Grant Delpit (CLE)","8","2","0.5","0","0","0","0","0","1","18.0","18.0","20.5%"
"5","Jonathan Owens (CHI)","4","4","1","0","0","1","0","0","1","17.0","17.0","5.0%"
"6","Tavierre Thomas (TB)","5","4","0","0","0","1","0","0","1","17.0","17.0","1.6%"
"7","Jordan Poyer (MIA)","8","3","0","0","0","0","0","0","1","16.8","16.8","24.3%"
"8","Derwin James Jr. (LAC)","7","3","0","0","0","0","1","0","1","16.8","16.8","75.2%"
"9","Amik Robertson (DET)","3","0","0","2","1","1","0","0","1","16.5","16.5","0.4%"
"10","Alohi Gilman (LAC)","4","0","0","1","0","1","1","0","1","15.5","15.5","10.5%"
"11","Reed Blankenship (PHI)","4","3","0","2","0","0","1","0","1","15.3","15.3","40.5%"
"12","Jaire Alexander (GB)","6","1","0","2","0","0","0","0","1","15.3","15.3","8.0%"
"13","Mike Hilton (CIN)","10","0","0","0","0","0","0","0","1","15.0","15.0","10.3%"
"14","Byron Murphy Jr. (MIN)","3","0","0","2","1","0","0","0","1","15.0","15.0","6.4%"
"15","Kyle Dugger (NE)","5","1","0","1","1","0","0","0","1","14.8","14.8","22.7%"
"16","Tre'von Moehrig (LV)","5","0","1","0","0","0","0","0","1","14.0","14.0","4.9%"
"17","Nate Hobbs (LV)","3","4","0","1","1","0","0","0","1","14.0","14.0","32.3%"
"18","Akayleb Evans (MIN)","5","2","0","0","0","1","0","0","1","13.0","13.0","3.1%"
"19","Xavier McKinney (GB)","7","3","0","0","0","0","0","0","1","12.8","12.8","35.2%"
"20","Joshua Metellus (MIN)","3","2","0","0","0","0","1","0","1","12.5","12.5","41.5%"
"21","Jaylen Watson (KC)","3","2","1","0","0","0","0","0","1","12.5","12.5","2.1%"
"22","Richie Grant (ATL)","4","4","0","2","0","0","0","0","1","12.0","12.0","12.0%"
"23","Denzel Ward (CLE)","2","1","0","2","1","0","0","0","1","11.8","11.8","4.9%"
"24","Jalen Pitre (HOU)","4","2","0","1","0","0","0","0","1","11.5","11.5","44.8%"
"25","Jessie Bates III (ATL)","5","3","0","1","0","0","0","0","1","11.3","11.3","69.3%"
"26","Darius Slay Jr. (PHI)","5","3","0","1","0","0","0","0","1","11.3","11.3","10.0%"
"27","Marcus Maye (MIA)","3","0","0","1","1","0","0","0","1","11.0","11.0","1.6%"
"28","Jordan Fuller (CAR)","2","5","0","0","0","1","0","0","1","10.8","10.8","9.0%"
"29","Ahkello Witherspoon (FA)","3","1","0","1","0","0","1","0","1","10.8","10.8","0.1%"
"30","Malik Hooker (DAL)","3","3","0","0","0","1","0","0","1","10.8","10.8","3.2%"
"31","Kristian Fulton (LAC)","4","1","0","1","0","0","0","0","1","10.8","10.8","1.5%"
"32","Kevin Byard III (CHI)","5","4","0","0","0","0","0","0","1","10.5","10.5","27.6%"
"33","Bryan Cook (KC)","2","2","0","0","0","0","0","1","1","10.5","10.5","3.0%"
"34","James Bradberry IV (PHI)","6","0","0","1","0","0","0","0","1","10.5","10.5","2.0%"
"35","Budda Baker (ARI)","4","6","0","0","0","0","0","0","1","10.5","10.5","35.9%"
"36","Markquese Bell (DAL)","6","2","0","0","0","0","0","0","1","10.5","10.5","9.5%"
"37","Duke Shelley (MIN)","4","0","0","0","0","0","1","0","1","10.0","10.0","0.0%"
"38","Alex Cook (CAR)","3","4","0","0","0","0","0","0","1","10.0","10.0","0.0%"
"39","Taron Johnson (BUF)","5","0","0","0","0","0","0","0","1","10.0","10.0","30.4%"
"40","Zyon McCollum (TB)","5","1","0","1","0","0","0","0","1","9.8","9.8","4.9%"
"41","Tyrann Mathieu (NO)","5","1","0","1","0","0","0","0","1","9.8","9.8","9.4%"
"42","Myles Bryant (HOU)","6","1","0","0","0","0","0","0","1","9.8","9.8","2.6%"
"43","Deonte Banks (NYG)","4","3","0","1","0","0","0","0","1","9.8","9.8","12.7%"
"44","Amani Hooker (TEN)","6","1","0","0","0","0","0","0","1","9.8","9.8","14.2%"
"45","Anthony Johnson Jr. (GB)","1","0","0","2","1","0","0","0","1","9.5","9.5","0.7%"
"46","A.J. Terrell (ATL)","3","0","0","0","0","0","0","0","1","9.5","9.5","3.8%"
"47","Geno Stone (CIN)","1","0","0","2","1","0","0","0","1","9.5","9.5","3.3%"
"48","Dean Marlowe (FA)","3","1","1","0","0","0","0","0","1","9.3","9.3","0.1%"
"49","Nick Scott (CAR)","3","1","0","0","0","0","1","0","1","9.3","9.3","1.5%"
"50","Emmanuel Forbes Jr. (WAS)","3","0","0","3","0","0","0","0","1","9.0","9.0","2.5%"
"51","Devon Witherspoon (SEA)","4","2","0","1","0","0","0","0","1","9.0","9.0","42.2%"
"52","Darrell Baker Jr. (IND)","4","2","0","1","0","0","0","0","1","9.0","9.0","0.2%"
"53","Benjamin St-Juste (WAS)","3","0","0","3","0","0","0","0","1","9.0","9.0","5.8%"
"54","Riq Woolen (SEA)","6","0","0","0","0","0","0","0","1","9.0","9.0","4.0%"
"55","Dane Jackson (CAR)","3","0","0","3","0","0","0","0","1","9.0","9.0","3.1%"
"56","Jeff Okudah (HOU)","4","2","0","1","0","0","0","0","1","9.0","9.0","1.6%"
"57","Jaylon Jones (IND)","5","0","0","1","0","0","0","0","1","9.0","9.0","0.4%"
"58","Cam Taylor-Britt (CIN)","1","1","0","1","1","0","0","0","1","8.8","8.8","14.7%"
"59","Percy Butler (WAS)","3","0","0","1","0","0","0","0","1","8.5","8.5","1.5%"
"60","D.J. Reed Jr. (NYJ)","3","0","0","0","0","1","0","0","1","8.5","8.5","9.7%"
"61","Ja'Sir Taylor (LAC)","3","1","0","2","0","0","0","0","1","8.3","8.3","0.6%"
"62","Quentin Lake (LAR)","5","1","0","0","0","0","0","0","1","8.3","8.3","3.5%"
"63","Eddie Jackson (BAL)","5","1","0","0","0","0","0","0","1","8.3","8.3","2.6%"
"64","Kendall Fuller (MIA)","5","1","0","0","0","0","0","0","1","8.3","8.3","6.0%"
"65","Quandre Diggs (FA)","5","1","0","0","0","0","0","0","1","8.3","8.3","2.6%"
"66","Russ Yeast (LAR)","4","3","0","0","0","0","0","0","1","8.3","8.3","2.5%"
"67","Julian Blackmon (IND)","5","1","0","0","0","0","0","0","1","8.3","8.3","13.6%"
"68","Tre Brown (SEA)","2","1","0","0","0","1","0","0","1","7.8","7.8","0.8%"
"69","Sydney Brown (PHI)","2","1","0","0","0","1","0","0","1","7.8","7.8","2.6%"
"70","Antoine Winfield Jr. (TB)","2","1","0","0","0","0","1","0","1","7.8","7.8","70.6%"
"71","Kamren Curl (LAR)","4","2","0","0","0","0","0","0","1","7.5","7.5","29.2%"
"72","Keisean Nixon (GB)","5","0","0","0","0","0","0","0","1","7.5","7.5","23.8%"
"73","Jevon Holland (MIA)","2","6","0","0","0","0","0","0","1","7.5","7.5","20.0%"
"74","Jordan Whitehead (TB)","4","0","0","1","0","0","0","0","1","7.5","7.5","15.6%"
"75","Carrington Valentine (GB)","2","0","0","3","0","0","0","0","1","7.5","7.5","0.4%"
"76","Jalen Thompson (ARI)","5","0","0","0","0","0","0","0","1","7.5","7.5","16.3%"
"77","Keanu Neal (FA)","3","4","0","0","0","0","0","0","1","7.5","7.5","0.5%"
"78","Kader Kohou (MIA)","4","0","0","1","0","0","0","0","1","7.5","7.5","2.2%"
"79","Elijah Hicks (CHI)","3","3","0","0","0","0","0","0","1","6.8","6.8","0.4%"
"80","Garrett Williams (ARI)","3","1","0","1","0","0","0","0","1","6.8","6.8","0.9%"
"81","Harrison Smith (MIN)","3","3","0","0","0","0","0","0","1","6.8","6.8","17.5%"
"82","Cameron Mitchell (CLE)","3","1","0","1","0","0","0","0","1","6.8","6.8","0.1%"
"83","Donte Jackson (PIT)","4","1","0","0","0","0","0","0","1","6.8","6.8","3.2%"
"84","Amari Burney (LV)","3","3","0","0","0","0","0","0","1","6.8","6.8","0.6%"
"85","Quan Martin (WAS)","0","0","0","1","1","0","0","0","1","6.5","6.5","2.1%"
"86","DeAndre Houston-Carson (FA)","1","1","0","0","0","0","1","0","1","6.3","6.3","0.0%"
"87","Jamal Adams (TEN)","2","1","0","0","0","0","0","0","1","6.3","6.3","3.5%"
"88","Elijah Molden (TEN)","3","2","0","0","0","0","0","0","1","6.0","6.0","3.1%"
"89","Joey Porter Jr. (PIT)","3","0","0","1","0","0","0","0","1","6.0","6.0","5.2%"
"90","Cor'Dale Flott (NYG)","4","0","0","0","0","0","0","0","1","6.0","6.0","1.0%"
"91","Camryn Bynum (MIN)","2","2","0","1","0","0","0","0","1","6.0","6.0","54.8%"
"92","Kyler Gordon (CHI)","3","2","0","0","0","0","0","0","1","6.0","6.0","10.3%"
"93","Rodney Thomas II (IND)","4","0","0","0","0","0","0","0","1","6.0","6.0","0.8%"
"94","Patrick Peterson (FA)","3","0","0","1","0","0","0","0","1","6.0","6.0","0.8%"
"95","Jabrill Peppers (NE)","2","0","0","2","0","0","0","0","1","6.0","6.0","9.2%"
"96","Asante Samuel Jr. (LAC)","4","0","0","0","0","0","0","0","1","6.0","6.0","3.9%"
"97","Jalen Ramsey (MIA)","4","0","0","0","0","0","0","0","1","6.0","6.0","16.5%"
"98","Jonathan Jones (NE)","3","0","0","1","0","0","0","0","1","6.0","6.0","1.6%"
"99","Jason Pinnock (NYG)","3","0","0","1","0","0","0","0","1","6.0","6.0","14.8%"
"100","Dicaprio Bootle (CAR)","3","0","0","1","0","0","0","0","1","6.0","6.0","0.4%"
"101","Steven Nelson (FA)","3","2","0","0","0","0","0","0","1","6.0","6.0","0.2%"
"102","Jayron Kearse (FA)","3","2","0","0","0","0","0","0","1","6.0","6.0","0.9%"
"103","Michael Carter II (NYJ)","3","2","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"104","Terrell Edmunds (JAC)","4","0","0","0","0","0","0","0","1","6.0","6.0","1.0%"
"105","Carlton Davis III (DET)","3","2","0","0","0","0","0","0","1","6.0","6.0","3.9%"
"106","Sauce Gardner (NYJ)","2","0","0","2","0","0","0","0","1","6.0","6.0","18.1%"
"107","DeShon Elliott (PIT)","3","1","0","0","0","0","0","0","1","5.3","5.3","7.4%"
"108","Darius Rush (PIT)","2","1","0","1","0","0","0","0","1","5.3","5.3","0.4%"
"109","Tre Avery (TEN)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.1%"
"110","Eli Ricks (PHI)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.1%"
"111","Jaylon Johnson (CHI)","3","1","0","0","0","0","0","0","1","5.3","5.3","4.2%"
"112","Kyle Hamilton (BAL)","2","1","0","1","0","0","0","0","1","5.3","5.3","46.9%"
"113","Damontae Kazee (PIT)","3","1","0","0","0","0","0","0","1","5.3","5.3","1.2%"
"114","Micah Hyde (FA)","1","1","0","2","0","0","0","0","1","5.3","5.3","1.1%"
"115","Marcus Epps (LV)","3","1","0","0","0","0","0","0","1","5.3","5.3","3.9%"
"116","Julian Love (SEA)","2","3","0","0","0","0","0","0","1","5.3","5.3","32.4%"
"117","Mike Edwards (BUF)","0","1","0","0","0","0","1","0","1","4.8","4.8","3.4%"
"118","Christian Izien (TB)","1","1","0","0","0","0","0","0","1","4.8","4.8","0.6%"
"119","Rasul Douglas (BUF)","2","0","0","1","0","0","0","0","1","4.5","4.5","7.4%"
"120","Alontae Taylor (NO)","2","0","0","1","0","0","0","0","1","4.5","4.5","2.7%"
"121","Tyrique Stevenson (CHI)","1","4","0","0","0","0","0","0","1","4.5","4.5","12.0%"
"122","Xavien Howard (FA)","2","0","0","1","0","0","0","0","1","4.5","4.5","1.3%"
"123","Juan Thornhill (CLE)","2","0","0","1","0","0","0","0","1","4.5","4.5","3.7%"
"124","Stephon Gilmore (FA)","2","2","0","0","0","0","0","0","1","4.5","4.5","1.3%"
"125","Xavier Woods (CAR)","1","4","0","0","0","0","0","0","1","4.5","4.5","9.2%"
"126","Justin Reid (KC)","3","0","0","0","0","0","0","0","1","4.5","4.5","32.5%"
"127","Starling Thomas V (ARI)","3","0","0","0","0","0","0","0","1","4.5","4.5","0.7%"
"128","Jack Jones (LV)","3","0","0","0","0","0","0","0","1","4.5","4.5","2.9%"
"129","Marcus Peters (FA)","1","1","0","1","0","0","0","0","1","3.8","3.8","1.1%"
"130","Christian Benford (BUF)","2","1","0","0","0","0","0","0","1","3.8","3.8","12.8%"
"131","Tony Adams (NYJ)","2","1","0","0","0","0","0","0","1","3.8","3.8","3.6%"
"132","L'Jarius Sneed (TEN)","2","1","0","0","0","0","0","0","1","3.8","3.8","46.8%"
"133","Michael Davis (WAS)","1","1","0","1","0","0","0","0","1","3.8","3.8","1.0%"
"134","Marshon Lattimore (NO)","2","1","0","0","0","0","0","0","1","3.8","3.8","5.7%"
"135","Chidobe Awuzie (TEN)","2","1","0","0","0","0","0","0","1","3.8","3.8","1.8%"
"136","Jakorian Bennett (LV)","1","0","0","1","0","0","0","0","1","3.0","3.0","0.7%"
"137","Taylor Rapp (BUF)","2","0","0","0","0","0","0","0","1","3.0","3.0","6.0%"
"138","Arthur Maulet (BAL)","2","0","0","0","0","0","0","0","1","3.0","3.0","0.9%"
"139","Brandon Stephens (BAL)","2","0","0","0","0","0","0","0","1","3.0","3.0","4.0%"
"140","Jammie Robinson (CAR)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.1%"
"141","Jaylon Jones (CHI)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"142","Essang Bassey (FA)","2","0","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"143","DJ Turner II (CIN)","2","0","0","0","0","0","0","0","1","3.0","3.0","2.3%"
"144","Dax Hill (CIN)","0","2","0","1","0","0","0","0","1","3.0","3.0","15.2%"
"145","Levi Wallace (DEN)","0","0","0","2","0","0","0","0","1","3.0","3.0","1.3%"
"146","Ryan Neal (FA)","2","0","0","0","0","0","0","0","1","3.0","3.0","1.9%"
"147","Micah Abernathy (ATL)","2","0","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"148","DaRon Bland (DAL)","1","0","0","1","0","0","0","0","1","3.0","3.0","41.2%"
"149","Rodney McLeod Jr. (CLE)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.4%"
"150","Dane Belton (NYG)","0","3","0","0","0","0","0","0","1","2.3","2.3","0.9%"
"151","Antonio Hamilton Sr. (ATL)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.5%"
"152","Jalen Mills (NYG)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.4%"
"153","Troy Hill (CAR)","1","1","0","0","0","0","0","0","1","2.3","2.3","1.8%"
"154","M.J. Stewart Jr. (HOU)","1","1","0","0","0","0","0","0","1","2.3","2.3","4.0%"
"155","Isaiah Pola-Mao (LV)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.1%"
"156","J.C. Jackson (FA)","1","0","0","0","0","0","0","0","1","1.5","1.5","1.0%"
"157","Nick McCloud (NYG)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.6%"
"158","Josh Norman (FA)","1","0","0","0","0","0","0","0","1","1.5","1.5","3.0%"
"159","Mike Ford Jr. (HOU)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"160","Ashtyn Davis (NYJ)","0","2","0","0","0","0","0","0","1","1.5","1.5","3.4%"
"161","Adrian Amos (FA)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"162","Martin Emerson Jr. (CLE)","1","0","0","0","0","0","0","0","1","1.5","1.5","2.4%"
"163","Brandin Echols (NYJ)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"164","Dee Alford (ATL)","0","2","0","0","0","0","0","0","1","1.5","1.5","1.1%"
"165","D'Anthony Bell (CLE)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"166","Eric Garror (TEN)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"167","Donovan Wilson (DAL)","1","0","0","0","0","0","0","0","1","1.5","1.5","21.3%"
"168","Duron Harmon (FA)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"169","Mekhi Blackmon (MIN)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.9%"
"170","Cam Lewis (BUF)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.2%"
"171","Adoree' Jackson (FA)","1","0","0","0","0","0","0","0","1","1.5","1.5","1.0%"
"172","Jerrick Reed II (SEA)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"173","Nik Needham (MIA)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.1%"
"174","Marlon Humphrey (BAL)","0","1","0","0","0","0","0","0","1","0.8","0.8","4.5%"
"175","Adrian Phillips (FA)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"176","Theo Jackson (MIN)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.2%"
"177","Jourdan Lewis (DAL)","0","1","0","0","0","0","0","0","1","0.8","0.8","1.7%"
"178","Jordan Battle (CIN)","0","1","0","0","0","0","0","0","1","0.8","0.8","10.0%"
"179","C.J. Henderson (HOU)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.7%"
"180","Shaun Wade (NE)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.2%"
"181","Dee Delaney (BUF)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"182","Sean Murphy-Bunting (ARI)","0","1","0","0","0","0","0","0","1","0.8","0.8","8.4%"
"183","Shaq Griffin (MIN)","0","1","0","0","0","0","0","0","1","0.8","0.8","1.1%"
"184","Marco Wilson (NE)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.2%"
"185","Shyheim Carter (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"186","K'Von Wallace (SEA)","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"187","Michael Ojemudia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Darnay Holmes (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"189","Thomas Graham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
