"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Myles Garrett (CLE)","4","1","3.5","0","0","1","0","0","1","32.3","32.3","63.2%"
"2","Aidan Hutchinson (DET)","3","1","2","2","0","1","1","0","1","26.8","26.8","54.7%"
"3","Jarran Reed (SEA)","5","3","2","1","0","0","0","0","1","24.3","24.3","5.2%"
"4","A.J. Epenesa (BUF)","1","0","1","1","1","0","0","1","1","20.5","20.5","2.6%"
"5","Danielle Hunter (HOU)","3","1","1","0","0","1","0","0","1","18.3","18.3","52.1%"
"6","Aaron Donald (FA)","5","2","1","0","0","0","0","0","1","18.0","18.0","11.0%"
"7","Brian Burns (NYG)","3","1","1","0","0","0","0","0","1","16.8","16.8","41.7%"
"8","Trey Hendrickson (CIN)","2","0","2","0","0","0","0","0","1","16.0","16.0","34.8%"
"9","Emmanuel Ogbah (MIA)","1","2","1","1","1","0","0","0","1","16.0","16.0","1.2%"
"10","DeMarcus Lawrence (DAL)","4","1","1","0","0","0","0","0","1","15.8","15.8","11.8%"
"11","Ed Oliver (BUF)","2","2","1.5","0","0","0","0","0","1","15.5","15.5","21.2%"
"12","Kwity Paye (IND)","3","0","1","0","0","0","1","0","1","15.0","15.0","14.2%"
"13","Sam Hubbard (CIN)","5","1","1","0","0","0","0","0","1","14.8","14.8","21.2%"
"14","Charles Harris (FA)","3","0","1","0","0","0","0","0","1","13.5","13.5","2.1%"
"15","Denico Autry (HOU)","2","0","1","0","0","1","0","0","1","13.5","13.5","9.5%"
"16","Sebastian Joseph-Day (TEN)","2","2","1","0","0","0","0","0","1","13.5","13.5","1.9%"
"17","DaQuan Jones (BUF)","1","4","1.5","0","0","0","0","0","1","13.0","13.0","0.6%"
"18","Tuli Tuipulotu (LAC)","4","0","1","0","0","0","0","0","1","12.5","12.5","3.9%"
"19","Nik Bonitto (DEN)","4","2","0","0","0","0","0","0","1","12.5","12.5","1.9%"
"20","Zach Allen (DEN)","3","4","0","0","0","0","0","0","1","12.5","12.5","10.7%"
"21","Jalen Carter (PHI)","1","1","0.5","0","0","2","0","0","1","12.3","12.3","13.3%"
"22","Alex Wright (CLE)","3","1","1","0","0","0","0","0","1","11.8","11.8","0.5%"
"23","Kenny Clark (GB)","3","1","1","0","0","0","0","0","1","11.8","11.8","8.2%"
"24","Mike Danna (KC)","3","0","1","0","0","0","0","0","1","11.0","11.0","4.8%"
"25","Victor Dimukeje (ARI)","3","0","1","0","0","0","0","0","1","11.0","11.0","0.5%"
"26","Christian Barmore (NE)","1","1","1","1","0","0","0","0","1","10.3","10.3","15.0%"
"27","Taven Bryan (IND)","1","1","1","0","0","1","0","0","1","10.3","10.3","0.1%"
"28","Nick Bosa (SF)","2","1","1","0","0","0","0","0","1","10.3","10.3","62.7%"
"29","Yetur Gross-Matos (SF)","2","1","1","0","0","0","0","0","1","10.3","10.3","1.2%"
"30","Alim McNeill (DET)","2","1","1","0","0","0","0","0","1","10.3","10.3","2.3%"
"31","Travon Walker (JAC)","3","1","0","0","0","0","0","0","1","10.3","10.3","11.2%"
"32","Kayvon Thibodeaux (NYG)","1","2","1","0","0","0","0","0","1","9.5","9.5","23.0%"
"33","Maxx Crosby (LV)","1","2","1","0","0","0","0","0","1","9.5","9.5","69.3%"
"34","Joey Bosa (LAC)","1","0","1","1","0","0","0","0","1","9.5","9.5","15.8%"
"35","Leonard Williams (SEA)","4","2","0.5","0","0","0","0","0","1","9.5","9.5","10.3%"
"36","DJ Reader (DET)","2","0","1","0","0","0","0","0","1","9.5","9.5","2.4%"
"37","B.J. Hill (CIN)","2","0","1","0","0","0","0","0","1","9.5","9.5","4.9%"
"38","Greg Rousseau (BUF)","2","0","1","0","0","0","0","0","1","9.5","9.5","14.7%"
"39","Javon Hargrave (SF)","1","2","1","0","0","0","0","0","1","9.5","9.5","14.0%"
"40","Byron Young (LAR)","4","1","0.5","0","0","0","0","0","1","8.8","8.8","32.6%"
"41","Marlon Tuipulotu (PHI)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.1%"
"42","Benito Jones (MIA)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.1%"
"43","Bilal Nichols (ARI)","3","2","0","0","0","0","0","0","1","8.5","8.5","1.2%"
"44","John Jenkins (LV)","2","4","0","0","0","0","0","0","1","8.5","8.5","1.2%"
"45","Daron Payne (WAS)","3","0","0","1","0","0","0","0","1","8.5","8.5","15.0%"
"46","Jonathan Harris (MIA)","3","2","0","0","0","0","0","0","1","8.5","8.5","0.9%"
"47","Justin Madubuike (BAL)","4","0","0","0","0","0","0","0","1","8.5","8.5","24.1%"
"48","Dexter Lawrence II (NYG)","4","3","0","0","0","0","0","0","1","8.3","8.3","12.1%"
"49","Keeanu Benton (PIT)","1","0","1","0","0","0","0","0","1","8.0","8.0","1.5%"
"50","Chris Jones (KC)","1","0","1","0","0","0","0","0","1","8.0","8.0","24.9%"
"51","Morgan Fox (LAC)","1","0","1","0","0","0","0","0","1","8.0","8.0","2.1%"
"52","Boye Mafe (SEA)","1","0","1","0","0","0","0","0","1","8.0","8.0","8.2%"
"53","Kingsley Enagbare (GB)","3","1","0","0","0","0","0","0","1","7.8","7.8","0.4%"
"54","Nick Williams (FA)","2","2","0","0","0","0","0","0","1","7.0","7.0","3.0%"
"55","Grady Jarrett (ATL)","2","2","0","0","0","0","0","0","1","7.0","7.0","4.7%"
"56","Teair Tart (MIA)","3","0","0","0","0","0","0","0","1","7.0","7.0","0.1%"
"57","Chase Young (NO)","3","0","0","0","0","0","0","0","1","7.0","7.0","10.1%"
"58","Jonathon Cooper (DEN)","3","3","0","0","0","0","0","0","1","6.8","6.8","15.3%"
"59","Dominique Robinson (CHI)","2","1","0","0","0","0","0","0","1","6.3","6.3","0.6%"
"60","Michael Pierce (BAL)","3","2","0","0","0","0","0","0","1","6.0","6.0","1.7%"
"61","Grover Stewart (IND)","3","2","0","0","0","0","0","0","1","6.0","6.0","3.0%"
"62","Derrick Brown (CAR)","3","2","0","0","0","0","0","0","1","6.0","6.0","39.1%"
"63","A'Shawn Robinson (CAR)","3","2","0","0","0","0","0","0","1","6.0","6.0","3.8%"
"64","Ben Stille (ARI)","4","0","0","0","0","0","0","0","1","6.0","6.0","0.1%"
"65","Jadeveon Clowney (CAR)","2","1","0.5","0","0","0","0","0","1","5.8","5.8","22.3%"
"66","Solomon Thomas (NYJ)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.8%"
"67","Maurice Hurst II Jr. (CLE)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.1%"
"68","Jerry Hughes (HOU)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.6%"
"69","Michael Hoecht (LAR)","1","2","0","0","0","0","0","0","1","5.5","5.5","13.0%"
"70","David Onyemata (ATL)","1","2","0","0","0","0","0","0","1","5.5","5.5","4.9%"
"71","Brent Urban (BAL)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.3%"
"72","Folorunso Fatukasi (HOU)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.5%"
"73","Cameron Thomas (FA)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.1%"
"74","Daniel Ekuale (NE)","1","0","0","0","0","1","0","0","1","5.5","5.5","0.1%"
"75","Will Anderson Jr. (HOU)","3","1","0","0","0","0","0","0","1","5.3","5.3","19.3%"
"76","Isaiah Foskey (NO)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.9%"
"77","Jeremiah Moon (PIT)","2","3","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"78","Jonathan Ledbetter (FA)","3","1","0","0","0","0","0","0","1","5.3","5.3","1.0%"
"79","Josh Sweat (PHI)","3","1","0","0","0","0","0","0","1","5.3","5.3","13.9%"
"80","DeShawn Williams (BUF)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.4%"
"81","Roy Robertson-Harris (JAC)","2","3","0","0","0","0","0","0","1","5.3","5.3","1.2%"
"82","Jeremiah Ledbetter (JAC)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.1%"
"83","Malcolm Roach (DEN)","1","1","0","0","0","0","0","0","1","4.8","4.8","0.9%"
"84","Osa Odighizuwa (DAL)","1","1","0","0","0","0","0","0","1","4.8","4.8","5.4%"
"85","Carl Granderson (NO)","2","2","0","0","0","0","0","0","1","4.5","4.5","27.1%"
"86","Jonathan Greenard (MIN)","3","0","0","0","0","0","0","0","1","4.5","4.5","28.5%"
"87","Gervon Dexter Sr. (CHI)","3","0","0","0","0","0","0","0","1","4.5","4.5","1.5%"
"88","Christian Wilkins (LV)","1","2","0","1","0","0","0","0","1","4.5","4.5","47.1%"
