"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","San Francisco 49ers (SF)","5","2","2","2","0","0","0","1","20.0","20.0","98.1%"
"2","Indianapolis Colts (IND)","5","2","0","1","0","0","0","1","16.0","16.0","24.5%"
"3","Cleveland Browns (CLE)","3","2","0","0","1","0","0","1","15.0","15.0","94.3%"
"4","Baltimore Ravens (BAL)","4","1","1","1","1","0","0","1","14.0","14.0","87.6%"
"5","Tampa Bay Buccaneers (TB)","4","1","0","0","0","0","0","1","13.0","13.0","20.7%"
"6","Pittsburgh Steelers (PIT)","1","2","0","0","0","0","0","1","8.0","8.0","76.5%"
"7","Las Vegas Raiders (LV)","2","1","0","1","0","0","0","1","8.0","8.0","21.8%"
"8","New York Jets (NYJ)","3","1","1","2","0","0","0","1","8.0","8.0","82.8%"
"9","Minnesota Vikings (MIN)","3","2","0","1","0","0","0","1","8.0","8.0","11.6%"
"10","Houston Texans (HOU)","4","2","0","1","0","0","0","1","8.0","8.0","29.8%"
"11","Denver Broncos (DEN)","0","2","2","2","0","0","0","1","8.0","8.0","34.5%"
"12","Dallas Cowboys (DAL)","5","1","0","0","0","0","0","1","8.0","8.0","93.2%"
"13","Chicago Bears (CHI)","3","0","0","0","0","0","0","1","7.0","7.0","31.0%"
"14","Carolina Panthers (CAR)","0","0","0","0","0","0","1","1","7.0","7.0","2.9%"
"15","Tennessee Titans (TEN)","3","1","0","0","0","0","0","1","6.0","6.0","3.5%"
"16","Cincinnati Bengals (CIN)","1","1","2","1","0","0","0","1","6.0","6.0","48.7%"
"17","New England Patriots (NE)","0","1","0","0","0","0","0","1","6.0","6.0","13.3%"
"18","Buffalo Bills (BUF)","4","0","1","1","0","0","0","1","6.0","6.0","62.6%"
"19","Seattle Seahawks (SEA)","3","0","1","1","0","0","0","1","5.0","5.0","27.1%"
"20","Atlanta Falcons (ATL)","2","1","0","0","0","0","0","1","4.0","4.0","16.5%"
"21","Arizona Cardinals (ARI)","3","0","0","0","0","0","0","1","3.0","3.0","0.8%"
"22","Green Bay Packers (GB)","1","0","0","0","0","0","0","1","1.0","1.0","26.0%"
"23","Jacksonville Jaguars (JAC)","2","0","0","0","0","0","0","1","1.0","1.0","47.1%"
"24","New Orleans Saints (NO)","1","0","0","0","0","0","0","1","1.0","1.0","63.8%"
"25","Los Angeles Rams (LAR)","0","0","0","0","0","0","0","0","0","0","21.1%"
"26","Miami Dolphins (MIA)","0","0","0","0","0","0","0","0","0","0","69.0%"
"27","Philadelphia Eagles (PHI)","0","0","0","0","0","0","0","0","0","0","50.8%"
"28","New York Giants (NYG)","0","2","0","0","0","0","0","1","0.0","0.0","3.1%"
"29","Kansas City Chiefs (KC)","0","0","0","0","0","0","0","0","0","0","76.9%"
"30","Washington Commanders (WAS)","1","0","0","0","0","0","0","1","0.0","0.0","8.1%"
"31","Detroit Lions (DET)","0","1","0","0","0","0","0","1","-2.0","-2.0","44.0%"
"32","Los Angeles Chargers (LAC)","0","0","0","0","0","0","0","1","-4.0","-4.0","16.6%"
""
""
