"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Riley Patterson (JAC)","4","5","80.0","52","0","0","2","1","1","2","2","1","17.0","17.0","13.1%"
"2","Brandon McManus (FA)","4","4","100.0","51","0","0","2","0","2","0","0","1","16.0","16.0","18.2%"
"3","Cameron Dicker (LAC)","3","3","100.0","53","0","0","0","2","1","3","3","1","16.0","16.0","45.5%"
"4","Brandon Aubrey (DAL)","2","2","100.0","58","0","1","0","0","1","5","5","1","13.0","13.0","96.9%"
"5","Younghoe Koo (ATL)","3","3","100.0","49","0","1","1","1","0","2","2","1","12.0","12.0","65.7%"
"6","Harrison Butker (KC)","3","3","100.0","56","0","1","1","0","1","0","0","1","11.0","11.0","95.5%"
"7","Eddy Pineiro (CAR)","3","3","100.0","46","0","1","1","1","0","0","1","1","10.0","10.0","1.4%"
"8","Matt Gay (IND)","2","2","100.0","42","0","1","0","1","0","3","3","1","10.0","10.0","35.5%"
"9","Jake Elliott (PHI)","1","1","100.0","51","0","0","0","0","1","5","5","1","10.0","10.0","93.7%"
"10","Evan McPherson (CIN)","1","2","50.0","56","0","0","0","0","1","4","4","1","9.0","9.0","83.1%"
"11","Joey Slye (NE)","1","1","100.0","61","0","0","0","0","1","4","4","1","9.0","9.0","0.6%"
"12","Justin Tucker (BAL)","1","2","50.0","48","0","0","0","1","0","4","4","1","8.0","8.0","98.8%"
"13","Dustin Hopkins (CLE)","2","2","100.0","27","0","2","0","0","0","2","2","1","8.0","8.0","30.3%"
"14","Blake Grupe (NO)","1","1","100.0","27","0","1","0","0","0","5","5","1","8.0","8.0","3.8%"
"15","Greg Zuerlein (NYJ)","2","2","100.0","35","0","0","2","0","0","1","1","1","7.0","7.0","41.9%"
"16","Lucas Havrisik (FA)","2","2","100.0","47","0","0","1","1","0","0","0","1","7.0","7.0","2.1%"
"17","Jason Sanders (MIA)","1","1","100.0","30","0","0","1","0","0","4","4","1","7.0","7.0","46.2%"
"18","Greg Joseph (GB)","1","3","33.3","25","0","1","0","0","0","3","3","1","6.0","6.0","3.7%"
"19","Wil Lutz (DEN)","1","2","50.0","28","0","1","0","0","0","3","3","1","6.0","6.0","10.3%"
"20","Chase McLaughlin (TB)","1","2","50.0","57","0","0","0","0","1","1","1","1","6.0","6.0","6.7%"
"21","Tyler Bass (BUF)","1","1","100.0","37","0","0","1","0","0","3","3","1","6.0","6.0","47.3%"
"22","Jason Myers (SEA)","1","1","100.0","32","0","0","1","0","0","3","3","1","6.0","6.0","31.7%"
"23","Matt Prater (ARI)","1","1","100.0","47","0","0","0","1","0","1","1","1","5.0","5.0","1.7%"
"24","Chad Ryland (NE)","1","1","100.0","38","0","0","1","0","0","2","2","1","5.0","5.0","0.4%"
"25","Jake Moody (SF)","1","1","100.0","36","0","0","1","0","0","2","2","1","5.0","5.0","69.4%"
"26","Nick Folk (TEN)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","9.4%"
"27","Anders Carlson (GB)","1","1","100.0","30","0","0","1","0","0","1","1","1","4.0","4.0","2.0%"
