"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Jordan Hicks (CLE)","5","5","0","1","1","0","1","1","1","27.8","27.8","28.8%"
"2","Lavonte David (TB)","9","3","1","1","0","0","0","0","1","26.3","26.3","52.5%"
"3","Bobby Okereke (NYG)","8","3","0","2","0","1","0","0","1","26.3","26.3","79.5%"
"4","Blake Cashman (MIN)","9","6","0","2","0","0","0","0","1","26.0","26.0","13.4%"
"5","Foyesade Oluokun (JAC)","10","5","0","2","0","0","0","0","1","24.3","24.3","94.3%"
"6","Quincy Williams (NYJ)","9","3","0","1","0","0","1","0","1","23.8","23.8","50.7%"
"7","Terrel Bernard (BUF)","9","3","0","0","0","0","0","0","1","23.3","23.3","49.2%"
"8","Logan Wilson (CIN)","8","3","0.5","0","0","0","0","0","1","21.3","21.3","62.2%"
"9","Jamin Davis (WAS)","4","4","1","1","1","0","0","0","1","19.5","19.5","7.9%"
"10","Jeremiah Owusu-Koramoah (CLE)","3","2","1","1","0","0","0","0","1","19.0","19.0","26.8%"
"11","Demario Davis (NO)","4","3","1","1","0","0","0","0","1","18.8","18.8","20.4%"
"12","Patrick Queen (PIT)","7","2","1","0","0","0","0","0","1","18.5","18.5","43.1%"
"13","C.J. Mosley (NYJ)","8","1","0","1","0","1","0","0","1","18.3","18.3","64.2%"
"14","Azeez Al-Shaair (HOU)","9","6","0","0","0","0","0","0","1","18.0","18.0","42.4%"
"15","Micah McFadden (NYG)","3","4","0","1","1","0","1","0","1","18.0","18.0","7.1%"
"16","Bradley Chubb (MIA)","4","2","1","0","0","1","0","0","1","18.0","18.0","16.7%"
"17","T.J. Edwards (CHI)","6","1","1","0","0","1","0","0","1","17.8","17.8","78.7%"
"18","Alex Anzalone (DET)","7","2","0","2","0","0","0","0","1","17.5","17.5","30.8%"
"19","Cody Barton (DEN)","5","10","0","0","0","0","0","0","1","17.5","17.5","11.3%"
"20","Harold Landry III (TEN)","5","0","1","0","0","0","0","0","1","16.5","16.5","23.2%"
"21","Kyzir White (ARI)","5","3","1","0","0","0","0","0","1","16.3","16.3","21.4%"
"22","Jahlani Tavai (NE)","5","2","0","1","1","0","0","0","1","15.5","15.5","5.9%"
"23","Kenneth Murray Jr. (TEN)","8","1","0","0","0","0","0","0","1","15.3","15.3","14.2%"
"24","Devin Lloyd (JAC)","7","2","0","2","0","0","0","0","1","15.0","15.0","24.1%"
"25","Alex Singleton (DEN)","9","1","0","0","0","0","0","0","1","14.3","14.3","63.4%"
"26","Fred Warner (SF)","3","4","0","1","1","0","0","0","1","14.0","14.0","90.4%"
"27","Willie Gay Jr. (NO)","5","1","0","1","0","0","1","0","1","13.8","13.8","6.3%"
"28","Casey Toohill (BUF)","2","0","2","0","0","0","0","0","1","13.5","13.5","0.5%"
"29","Joe Tryon-Shoyinka (TB)","3","1","1","1","0","0","0","0","1","13.3","13.3","1.9%"
"30","Frankie Luvu (WAS)","5","4","0","0","0","0","0","0","1","13.0","13.0","42.9%"
"31","Ernest Jones IV (LAR)","7","3","0","0","0","0","0","0","1","12.8","12.8","59.8%"
"32","Bud Dupree (LAC)","1","3","1.5","0","0","0","0","0","1","12.3","12.3","1.1%"
"33","Dorian Williams (BUF)","6","4","0","0","0","0","0","0","1","12.0","12.0","4.5%"
"34","Josey Jewell (CAR)","7","2","0","0","0","0","0","0","1","12.0","12.0","28.8%"
"35","Nick Bolton (KC)","3","1","0","1","1","0","0","0","1","11.8","11.8","53.0%"
"36","Zack Baun (PHI)","2","3","0","1","1","0","0","0","1","11.8","11.8","1.5%"
"37","Shaquille Leonard (FA)","5","2","0","0","0","0","0","0","1","11.5","11.5","21.3%"
"38","Tremaine Edmunds (CHI)","2","4","0","1","0","0","1","0","1","11.5","11.5","32.4%"
"39","Jack Sanborn (CHI)","5","2","0","0","0","0","0","0","1","11.5","11.5","3.3%"
"40","Damone Clark (DAL)","7","1","0","0","0","0","0","0","1","11.3","11.3","7.9%"
"41","David Long Jr. (MIA)","4","7","0","0","0","0","0","0","1","11.3","11.3","6.9%"
"42","Jack Gibbens (TEN)","6","3","0","0","0","0","0","0","1","11.3","11.3","5.5%"
"43","Drue Tranquill (KC)","3","0","1","0","0","0","0","0","1","11.0","11.0","11.6%"
"44","Christian Rozeboom (LAR)","3","0","0","1","1","0","0","0","1","11.0","11.0","3.7%"
"45","Khalil Mack (LAC)","2","2","1","0","0","0","0","0","1","11.0","11.0","52.3%"
"46","Samson Ebukam (IND)","3","0","1","0","0","0","0","0","1","11.0","11.0","8.2%"
"47","Anfernee Jennings (NE)","5","1","0","0","0","0","0","0","1","10.8","10.8","3.8%"
"48","Eric Kendricks (DAL)","6","2","0","0","0","0","0","0","1","10.5","10.5","30.8%"
"49","Zaire Franklin (IND)","6","2","0","0","0","0","0","0","1","10.5","10.5","92.4%"
"50","Roquan Smith (BAL)","4","5","0","0","0","0","0","0","1","9.8","9.8","90.7%"
"51","Nate Landman (ATL)","5","3","0","0","0","0","0","0","1","9.8","9.8","7.1%"
"52","Leonard Floyd (SF)","2","0","1","0","0","0","0","0","1","9.5","9.5","4.8%"
"53","Kyle Van Noy (BAL)","1","0","1","1","0","0","0","0","1","9.5","9.5","7.4%"
"54","Josh Woods (FA)","3","3","0","0","0","0","0","0","1","9.3","9.3","0.6%"
"55","Oren Burks (PHI)","4","4","0","0","0","0","0","0","1","9.0","9.0","2.9%"
"56","Micah Parsons (DAL)","1","1","1","0","0","0","0","0","1","8.8","8.8","77.5%"
"57","Kamu Grugier-Hill (MIN)","3","2","0","0","0","0","0","0","1","8.5","8.5","6.6%"
"58","Devin White (PHI)","4","3","0","0","0","0","0","0","1","8.3","8.3","21.2%"
"59","Jordyn Brooks (MIA)","4","3","0","0","0","0","0","0","1","8.3","8.3","24.1%"
"60","Henry To'oTo'o (HOU)","5","1","0","0","0","0","0","0","1","8.3","8.3","6.9%"
"61","Pete Werner (NO)","4","2","0","0","0","0","0","0","1","7.5","7.5","9.8%"
"62","Germaine Pratt (CIN)","5","0","0","0","0","0","0","0","1","7.5","7.5","15.8%"
"63","Jack Campbell (DET)","3","4","0","0","0","0","0","0","1","7.5","7.5","16.3%"
"64","Divine Deablo (LV)","3","4","0","0","0","0","0","0","1","7.5","7.5","12.5%"
"65","Robert Spillane (LV)","3","4","0","0","0","0","0","0","1","7.5","7.5","32.4%"
"66","Deion Jones (BUF)","3","0","0","0","0","0","0","0","1","7.0","7.0","2.0%"
"67","Demetrius Flannigan-Fowles (SF)","1","2","0","1","0","0","0","0","1","7.0","7.0","1.4%"
"68","Jerome Baker (SEA)","4","1","0","0","0","0","0","0","1","6.8","6.8","14.0%"
"69","Nicholas Morrow (BUF)","3","3","0","0","0","0","0","0","1","6.8","6.8","3.9%"
"70","Sam Franklin Jr. (CAR)","2","2","0","1","0","0","0","0","1","6.0","6.0","0.4%"
"71","Kaden Elliss (ATL)","4","0","0","0","0","0","0","0","1","6.0","6.0","14.3%"
"72","E.J. Speed (IND)","2","0","0","0","0","0","0","0","1","5.5","5.5","40.0%"
"73","Dennis Gardeck (ARI)","2","0","0","0","0","0","0","0","1","5.5","5.5","2.8%"
"74","Leo Chenal (KC)","2","0","0","0","0","0","0","0","1","5.5","5.5","6.1%"
"75","Sione Takitaki (NE)","1","0","1","0","0","0","0","0","1","5.5","5.5","3.6%"
"76","Nakobe Dean (PHI)","3","1","0","0","0","0","0","0","1","5.3","5.3","7.8%"
"77","Ja'Whaun Bentley (NE)","3","1","0","0","0","0","0","0","1","5.3","5.3","14.4%"
"78","Zach Cunningham (FA)","2","2","0","0","0","0","0","0","1","4.5","4.5","1.4%"
"79","Shaquil Barrett (FA)","2","2","0","0","0","0","0","0","1","4.5","4.5","6.7%"
"80","Bobby Wagner (WAS)","2","2","0","0","0","0","0","0","1","4.5","4.5","72.3%"
"81","Ogbo Okoronkwo (CLE)","1","0","0","0","0","0","0","0","1","4.0","4.0","2.0%"
"82","Amen Ogbongbemiga (CHI)","0","0","0","0","0","0","1","0","1","4.0","4.0","0.1%"
"83","Del'Shawn Phillips (HOU)","0","0","0","0","0","0","1","0","1","4.0","4.0","1.0%"
"84","Jamien Sherwood (NYJ)","1","0","0","0","0","0","0","0","1","4.0","4.0","2.4%"
"85","Khaleke Hudson (NO)","2","1","0","0","0","0","0","0","1","3.8","3.8","2.3%"
"86","Andrew Van Ginkel (MIN)","2","1","0","0","0","0","0","0","1","3.8","3.8","10.4%"
"87","Christian Harris (HOU)","1","2","0","0","0","0","0","0","1","3.0","3.0","10.6%"
"88","Malik Harrison (BAL)","1","2","0","0","0","0","0","0","1","3.0","3.0","4.2%"
"89","Cam Gill (CAR)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"90","Mack Wilson Sr. (ARI)","0","3","0","0","0","0","0","0","1","2.3","2.3","3.6%"
"91","Luke Masterson (LV)","1","1","0","0","0","0","0","0","1","2.3","2.3","1.5%"
"92","Duke Riley (MIA)","0","3","0","0","0","0","0","0","1","2.3","2.3","2.7%"
"93","Anthony Walker Jr. (MIA)","1","0","0","0","0","0","0","0","1","1.5","1.5","3.3%"
"94","Ivan Pace Jr. (MIN)","0","0","0","1","0","0","0","0","1","1.5","1.5","14.8%"
"95","Zaven Collins (ARI)","1","0","0","0","0","0","0","0","1","1.5","1.5","5.1%"
"96","Jacob Hummel (LAR)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"97","Uchenna Nwosu (SEA)","1","0","0","0","0","0","0","0","1","1.5","1.5","16.4%"
"98","Lorenzo Carter (ATL)","0","1","0","0","0","0","0","0","1","0.8","0.8","1.4%"
"99","Derrick Barnes (DET)","0","1","0","0","0","0","0","0","1","0.8","0.8","7.4%"
"100","Joe Bachie (CIN)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.7%"
"101","Drew Sanders (DEN)","0","1","0","0","0","0","0","0","1","0.8","0.8","6.6%"
"102","Jeremiah Trotter Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"103","LaCale London (ATL)","0","1","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"104","Jonas Griffith (DEN)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"105","Ross Matiscik (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Liam McCullough (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Javin White (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Michael Hoecht (LAR)","2","2","0","0","0","0","0","0","1","0.0","0.0","13.0%"
"109","L.J. Collier (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"110","Ty Summers (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Tyrel Dodson (SEA)","0","0","0","0","0","0","0","0","1","0.0","0.0","7.8%"
"112","David Long Jr. (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Jacob Bobenmoyer (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Anthony Nelson (TB)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"115","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Cole Holcomb (PIT)","0","0","0","0","0","0","0","0","0","0","0","8.5%"
"117","Joe Giles-Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Tae Davis (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"119","Ezekiel Turner (SF)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"120","Dre Greenlaw (SF)","0","0","0","0","0","0","0","0","0","0","0","37.0%"
"121","Oshane Ximines (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Devin Bush Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"123","Brian Burns (NYG)","2","0","0","0","0","0","0","0","1","0.0","0.0","41.7%"
"124","Jachai Polite (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Sam Eguavoen (NYJ)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Josh Hines-Allen (JAC)","3","1","1","0","0","1","0","0","1","0.0","0.0","44.0%"
"127","Rashan Gary (GB)","0","0","0","0","0","0","0","0","0","0","0","10.2%"
"128","Nick Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Carlo Kemp (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","De'Jon Harris (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"131","Mykal Walker (WAS)","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"132","Krys Barnes (ARI)","0","0","0","0","0","0","0","0","0","0","0","6.9%"
"133","Tomon Fox (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Janarius Robinson (LV)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"135","Justin Strnad (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"136","Markus Bailey (ARI)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"137","Blake Ferguson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Kristian Welch (GB)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"139","Cole Christiansen (KC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"140","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Willie Harvey Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Anthony Pittman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Curtis Bolton (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"144","Troy Reeder (LAR)","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"145","Luke Gifford (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Monty Rice (NO)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"148","Cam Brown (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"149","Keandre Jones (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","D.J. Wonnum (CAR)","3","1","1","1","0","0","0","0","1","0.0","0.0","11.5%"
"151","Carter Coughlin (NYG)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"152","Alex Highsmith (PIT)","0","0","0","0","0","0","0","0","0","0","0","24.4%"
"153","Joshua Uche (NE)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"154","Isaiah Simmons (NYG)","0","0","0","0","0","0","0","0","1","0.0","0.0","5.8%"
"155","Yetur Gross-Matos (SF)","0","3","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"156","Julian Okwara (PHI)","1","0","1","1","0","0","0","0","1","0.0","0.0","0.0%"
"157","K'Lavon Chaisson (CAR)","1","0","1","0","0","0","0","0","1","0.0","0.0","0.9%"
"158","Terrell Lewis (PHI)","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"159","Akeem Davis-Gaither (CIN)","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"160","Troy Dye (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"161","Darrell Taylor (SEA)","0","1","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"162","Jacob Phillips (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"163","Trevis Gipson (JAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"164","Markquese Bell (DAL)","5","2","0","1","0","0","0","0","1","0.0","0.0","9.5%"
"165","Benton Whitley (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Keir Thomas (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Kana'i Mauga (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Owen Carney Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","William Kwenkeu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"170","Zaire Barnes (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"171","David Perales (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Andrew Farmer II (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"173","Jalen Graham (SF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"174","Dee Winters (SF)","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"175","Jose Ramirez (TB)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"176","Thomas Rush (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Caleb Murphy (TEN)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"178","DJ Coleman (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Anfernee Orji (NO)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Marte Mapu (NE)","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"181","Yaya Diaby (TB)","1","2","0","0","0","0","0","0","1","0.0","0.0","7.4%"
"182","Lukas Van Ness (GB)","0","0","0","0","0","0","0","0","0","0","0","5.2%"
"183","Owen Pappoe (ARI)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"184","DeMarvion Overshown (DAL)","0","0","0","0","0","0","0","0","0","0","0","5.6%"
"185","Tuli Tuipulotu (LAC)","2","0","0","0","0","0","0","0","1","0.0","0.0","3.9%"
"186","Daiyan Henley (LAC)","0","0","0","0","0","0","0","0","0","0","0","6.4%"
"187","Mohamoud Diabate (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Byron Young (LAR)","3","3","1","0","0","1","0","0","1","0.0","0.0","32.6%"
"189","Nick Herbig (PIT)","0","0","0","0","0","0","0","0","0","0","0","2.8%"
"190","Tavius Robinson (BAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"191","Austin Ajiake (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Titus Leo (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Abraham Beauplan (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Jack Cochrane (KC)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"195","Luiji Vilain (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Brandon Smith (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Jesse Luketa (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Chance Campbell (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"199","Troy Andersen (ATL)","0","0","0","0","0","0","0","0","0","0","0","9.8%"
"200","De'Shaan Dixon (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Kyron Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"202","Antonio Grier Jr. (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Tyrice Knight (SEA)","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"204","Vi Jones (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
