"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Derrick Henry (BAL)","21","102","4.9","22","1","2","1","2","18","18.0","0","0","1","24.0","24.0","99.4%"
"2","Joe Mixon (HOU)","19","68","3.6","18","0","2","6","7","49","8.2","0","0","1","23.7","23.7","99.0%"
"3","Alvin Kamara (NO)","14","51","3.6","16","0","2","6","8","58","9.7","0","0","1","22.9","22.9","98.2%"
"4","James Conner (ARI)","25","105","4.2","29","1","2","0","2","0","0","0","0","1","22.5","22.5","91.6%"
"5","Chuba Hubbard (CAR)","25","104","4.2","17","0","2","0","0","0","0","0","0","1","22.4","22.4","49.0%"
"6","De'Von Achane (MIA)","17","73","4.3","15","0","2","3","4","30","10.0","0","0","1","22.3","22.3","95.8%"
"7","Christian McCaffrey (SF)","17","93","5.5","16","0","1","3","4","40","13.3","0","0","1","19.3","19.3","100.0%"
"8","Isiah Pacheco (KC)","18","110","6.1","26","1","1","3","4","13","4.3","0","0","1","18.3","18.3","97.8%"
"9","Kyren Williams (LAR)","21","88","4.2","18","0","1","3","5","24","8.0","0","0","1","17.2","17.2","96.3%"
"10","Rachaad White (TB)","20","84","4.2","30","1","1","3","5","22","7.3","0","0","1","16.6","16.6","97.5%"
"11","Zach Charbonnet (SEA)","19","60","3.2","14","0","1","1","2","39","39.0","0","0","1","15.9","15.9","64.0%"
"12","Tony Pollard (TEN)","20","68","3.4","16","0","1","3","4","15","5.0","0","0","1","14.3","14.3","93.1%"
"13","Travis Etienne Jr. (JAC)","11","45","4.1","13","0","1","4","4","34","8.5","0","0","1","13.9","13.9","99.7%"
"14","David Montgomery (DET)","18","56","3.1","13","0","1","1","2","-1","-1.0","0","0","1","11.5","11.5","93.4%"
"15","Jerome Ford (CLE)","9","19","2.1","10","0","0","3","3","33","11.0","1","0","1","11.2","11.2","81.5%"
"16","Raheem Mostert (MIA)","11","43","3.9","12","0","1","1","1","8","8.0","0","0","1","11.1","11.1","91.4%"
"17","Dameon Pierce (HOU)","15","41","2.7","22","1","1","0","0","0","0","0","0","1","10.1","10.1","27.7%"
"18","Ezekiel Elliott (DAL)","17","52","3.1","8","0","0","4","5","40","10.0","0","0","1","9.2","9.2","81.3%"
"19","Tyjae Spears (TEN)","16","75","4.7","19","0","0","4","6","13","3.3","0","0","1","8.8","8.8","64.5%"
"20","AJ Dillon (GB)","18","73","4.1","10","0","0","1","1","14","14.0","0","0","1","8.7","8.7","34.7%"
"21","Bijan Robinson (ATL)","18","53","2.9","12","0","0","3","5","26","8.7","0","0","1","7.9","7.9","99.9%"
"22","Najee Harris (PIT)","16","63","3.9","11","0","0","2","3","14","7.0","0","0","1","7.7","7.7","91.3%"
"23","Antonio Gibson (NE)","10","35","3.5","9","0","0","4","5","37","9.3","0","0","1","7.2","7.2","54.0%"
"24","Javonte Williams (DEN)","13","46","3.5","16","0","0","3","3","24","8.0","0","0","1","7.0","7.0","89.2%"
"25","Chase Brown (CIN)","9","61","6.8","31","1","0","0","0","0","0","0","0","1","6.1","6.1","40.5%"
"26","Zack Moss (CIN)","19","51","2.7","5","0","0","2","3","6","3.0","0","0","1","5.7","5.7","75.0%"
"27","Jaylen Warren (PIT)","9","59","6.6","18","0","0","1","3","-4","-4.0","0","0","1","5.5","5.5","84.7%"
"28","Jahmyr Gibbs (DET)","8","60","7.5","36","1","0","1","2","-6","-6.0","0","0","1","5.4","5.4","99.3%"
"29","Brian Robinson Jr. (WAS)","7","53","7.6","29","1","0","0","0","0","0","0","0","1","5.3","5.3","86.0%"
"30","Kareem Hunt (FA)","12","48","4.0","7","0","0","1","1","0","0.0","0","0","1","4.8","4.8","27.2%"
"31","Kenneth Gainwell (PHI)","2","5","2.5","3","0","0","5","6","42","8.4","0","0","1","4.7","4.7","14.8%"
"32","Breece Hall (NYJ)","13","16","1.2","9","0","0","6","8","29","4.8","0","0","1","4.5","4.5","98.9%"
"33","Devin Singletary (NYG)","8","36","4.5","14","0","0","1","1","4","4.0","0","0","1","4.0","4.0","83.9%"
"34","Chris Rodriguez Jr. (WAS)","7","29","4.1","15","0","0","0","0","0","0","0","0","1","2.9","2.9","1.2%"
"35","Boston Scott (LAR)","1","2","2.0","2","0","0","1","1","27","27.0","0","0","1","2.9","2.9","0.1%"
"36","Miles Sanders (CAR)","8","23","2.9","8","0","0","1","2","6","6.0","0","0","1","2.9","2.9","22.3%"
"37","Patrick Taylor Jr. (SF)","2","29","14.5","24","1","0","0","1","0","0","0","0","1","2.9","2.9","2.0%"
"38","Austin Ekeler (WAS)","14","18","1.3","4","0","0","2","3","9","4.5","0","0","1","2.7","2.7","92.9%"
"39","Tyler Allgeier (ATL)","8","26","3.3","6","0","0","0","0","0","0","0","0","1","2.6","2.6","51.9%"
"40","Dalvin Cook (FA)","9","35","3.9","14","0","0","1","2","11","11.0","0","1","1","2.6","2.6","9.3%"
"41","Joshua Kelley (FA)","6","16","2.7","7","0","0","2","3","9","4.5","0","0","1","2.5","2.5","6.6%"
"42","Michael Carter (ARI)","4","25","6.3","19","0","0","0","0","0","0","0","0","1","2.5","2.5","1.3%"
"43","Rico Dowdle (DAL)","5","15","3.0","8","0","0","1","1","7","7.0","0","0","1","2.2","2.2","11.4%"
"44","Jaleel McLaughlin (DEN)","4","15","3.8","8","0","0","2","2","6","3.0","0","0","1","2.1","2.1","11.8%"
"45","D'Andre Swift (CHI)","6","13","2.2","4","0","0","2","6","7","3.5","0","0","1","2.0","2.0","94.0%"
"46","Pierre Strong Jr. (CLE)","2","20","10.0","13","0","0","0","0","0","0","0","0","1","2.0","2.0","0.6%"
"47","Rhamondre Stevenson (NE)","9","39","4.3","9","0","0","1","1","0","0.0","0","1","1","1.9","1.9","85.2%"
"48","Cordarrelle Patterson (PIT)","5","11","2.2","7","0","0","1","2","6","6.0","0","0","1","1.7","1.7","1.4%"
"49","Jamaal Williams (NO)","5","10","2.0","4","0","0","1","1","6","6.0","0","0","1","1.6","1.6","10.3%"
"50","Dare Ogunbowale (HOU)","1","1","1.0","1","0","0","1","1","14","14.0","0","0","1","1.5","1.5","0.3%"
"51","Clyde Edwards-Helaire (KC)","2","6","3.0","5","0","0","1","2","8","8.0","0","0","1","1.4","1.4","23.9%"
"52","Elijah Mitchell (SF)","3","13","4.3","11","0","0","0","0","0","0","0","0","1","1.3","1.3","9.0%"
"53","Tyler Goodson (IND)","0","0","0","0","0","0","2","2","11","5.5","0","0","1","1.1","1.1","0.1%"
"54","Jeff Wilson Jr. (MIA)","4","11","2.8","6","0","0","0","0","0","0","0","0","1","1.1","1.1","6.7%"
"55","Jordan Mason (SF)","2","10","5.0","6","0","0","0","0","0","0","0","0","1","1.0","1.0","2.2%"
"56","Chase Edmonds (TB)","2","7","3.5","4","0","0","1","1","2","2.0","0","0","1","0.9","0.9","0.8%"
"57","D'Ernest Johnson (JAC)","5","4","0.8","4","0","0","1","1","5","5.0","0","0","1","0.9","0.9","2.7%"
"58","Samaje Perine (DEN)","1","1","1.0","1","0","0","2","2","5","2.5","0","0","1","0.6","0.6","12.7%"
"59","Raheem Blackshear (CAR)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"60","DeeJay Dallas (ARI)","1","6","6.0","6","0","0","0","2","0","0","0","0","1","0.6","0.6","0.6%"
"61","Michael Burton (DEN)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"62","Ty Montgomery II (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"63","J.K. Dobbins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.9%"
"64","La'Mical Perine (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"65","Cam Akers (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2%"
"66","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.8%"
"67","Darrynton Evans (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"68","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"69","Trey Sermon (IND)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.9%"
"70","Tony Jones Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57.4%"
"72","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"73","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"74","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"76","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
