"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyler Higbee (LAR)","5","5","29","5.8","7","0","2","0","0","0","0","1","14.9","14.9","19.5%"
"2","Sam LaPorta (DET)","5","8","47","9.4","31","1","1","0","0","0","0","1","12.7","12.7","98.9%"
"3","Pat Freiermuth (PIT)","9","11","120","13.3","29","2","0","0","0","0","0","1","12.0","12.0","57.5%"
"4","T.J. Hockenson (MIN)","5","6","50","10.0","17","0","1","0","0","0","0","1","11.0","11.0","81.1%"
"5","Gerald Everett (CHI)","4","4","43","10.8","31","1","1","0","0","0","0","1","10.3","10.3","23.4%"
"6","Travis Kelce (KC)","6","7","91","15.2","27","2","0","0","0","0","0","1","9.1","9.1","99.9%"
"7","Tucker Kraft (GB)","2","2","15","7.5","9","0","1","0","0","0","0","1","7.5","7.5","11.2%"
"8","Drew Sample (CIN)","1","1","11","11.0","11","0","1","0","0","0","0","1","7.1","7.1","0.1%"
"9","Adam Trautman (DEN)","1","1","8","8.0","8","0","1","0","0","0","0","1","6.8","6.8","0.2%"
"10","Taysom Hill (NO)","2","2","55","27.5","36","1","0","7","26","0","1","1","6.1","6.1","35.8%"
"11","Trey McBride (ARI)","7","9","60","8.6","16","0","0","0","0","0","0","1","6.0","6.0","91.4%"
"12","David Njoku (CLE)","6","9","59","9.8","17","0","0","0","0","0","0","1","5.9","5.9","93.6%"
"13","Luke Farrell (JAC)","3","5","55","18.3","42","1","0","0","0","0","0","1","5.5","5.5","0.1%"
"14","Evan Engram (JAC)","5","8","49","9.8","21","1","0","0","0","0","0","1","4.9","4.9","96.4%"
"15","Cade Otton (TB)","4","4","45","11.3","24","1","0","0","0","0","0","1","4.5","4.5","16.5%"
"16","Chigoziem Okonkwo (TEN)","4","5","45","11.3","25","1","0","0","0","0","0","1","4.5","4.5","23.7%"
"17","Juwan Johnson (NO)","4","7","45","11.3","23","1","0","0","0","0","0","1","4.5","4.5","9.5%"
"18","Cole Kmet (CHI)","7","7","43","6.1","24","1","0","0","0","0","0","1","4.3","4.3","69.8%"
"19","Harrison Bryant (LV)","1","1","2","2.0","2","0","1","1","0","0","1","1","4.2","4.2","0.1%"
"20","Isaiah Likely (BAL)","4","6","40","10.0","18","0","0","0","0","0","0","1","4.0","4.0","37.0%"
"21","Dalton Kincaid (BUF)","5","6","38","7.6","14","0","0","0","0","0","0","1","3.8","3.8","86.3%"
"22","Jake Ferguson (DAL)","1","3","35","35.0","35","1","0","0","0","0","0","1","3.5","3.5","89.5%"
"23","Tyler Conklin (NYJ)","4","5","33","8.3","9","0","0","0","0","0","0","1","3.3","3.3","16.7%"
"24","Mo Alie-Cox (IND)","1","1","30","30.0","30","1","0","0","0","0","0","1","3.0","3.0","0.1%"
"25","Noah Gray (KC)","3","3","30","10.0","13","0","0","0","0","0","0","1","3.0","3.0","0.8%"
"26","Will Mallory (IND)","2","3","29","14.5","17","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"27","Cole Turner (WAS)","1","1","29","29.0","29","1","0","0","0","0","0","1","2.9","2.9","0.0%"
"28","Michael Mayer (LV)","2","4","27","13.5","17","0","0","0","0","0","0","1","2.7","2.7","4.4%"
"29","Elijah Higgins (ARI)","1","2","26","26.0","26","1","0","0","0","0","0","1","2.6","2.6","0.1%"
"30","Noah Fant (SEA)","2","2","25","12.5","16","0","0","0","0","0","0","1","2.5","2.5","2.2%"
"31","Kyle Pitts (ATL)","2","2","22","11.0","11","0","0","0","0","0","0","1","2.2","2.2","88.3%"
"32","Will Dissly (LAC)","1","1","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","0.2%"
"33","George Kittle (SF)","3","5","19","6.3","11","0","0","0","0","0","0","1","1.9","1.9","97.5%"
"34","Jeremy Ruckert (NYJ)","2","4","18","9.0","9","0","0","0","0","0","0","1","1.8","1.8","0.2%"
"35","Tanner Hudson (CIN)","4","5","18","4.5","6","0","0","0","0","0","0","1","1.8","1.8","2.6%"
"36","Logan Thomas (SF)","2","4","15","7.5","13","0","0","0","0","0","0","1","1.5","1.5","19.2%"
"37","Jack Stoll (NYG)","1","2","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"38","Austin Hooper (NE)","1","2","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.3%"
"39","Stephen Sullivan (CAR)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"40","Payne Durham (TB)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"41","Luke Schoonmaker (DAL)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.3%"
"42","Josh Whyle (TEN)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"43","Connor Heyward (PIT)","2","2","11","5.5","10","0","0","0","0","0","0","1","1.1","1.1","0.2%"
"44","Durham Smythe (MIA)","1","3","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.6%"
"45","Darnell Washington (PIT)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.3%"
"46","Ian Thomas (CAR)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"47","Charlie Woerner (ATL)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"48","Brevin Jordan (HOU)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","5.1%"
