"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LV)","13","20","172","13.2","32","2","2","0","0","0","0","1","29.2","29.2","99.9%"
"2","Keenan Allen (CHI)","18","20","215","11.9","25","5","0","0","0","0","0","1","27.5","27.5","91.0%"
"3","Tyreek Hill (MIA)","9","11","157","17.4","54","1","1","0","0","0","0","1","21.7","21.7","100.0%"
"4","Justin Jefferson (MIN)","7","13","149","21.3","52","4","1","0","0","0","0","1","20.9","20.9","100.0%"
"5","Adam Thielen (CAR)","11","14","145","13.2","25","3","1","0","0","0","0","1","20.5","20.5","71.9%"
"6","Tank Dell (HOU)","5","7","145","29.0","68","2","1","0","0","0","0","1","20.5","20.5","60.3%"
"7","Deebo Samuel Sr. (SF)","6","12","129","21.5","40","3","1","1","2","0","0","1","19.1","19.1","98.7%"
"8","Mike Williams (NYJ)","7","8","121","17.3","49","2","1","0","0","0","0","1","18.1","18.1","47.6%"
"9","Amari Cooper (CLE)","7","8","116","16.6","43","2","1","0","0","0","0","1","17.6","17.6","91.6%"
"10","DJ Chark Jr. (LAC)","4","11","86","21.5","47","2","1","0","0","0","0","1","14.6","14.6","4.7%"
"11","Ja'Marr Chase (CIN)","12","15","141","11.8","43","1","0","0","0","0","0","1","14.1","14.1","99.4%"
"12","Marvin Mims Jr. (DEN)","3","5","73","24.3","38","2","0","1","3","0","0","1","13.6","13.6","7.2%"
"13","Romeo Doubs (GB)","5","12","73","14.6","30","1","1","0","0","0","0","1","13.3","13.3","44.3%"
"14","Calvin Austin III (PIT)","2","6","72","36.0","72","1","1","0","0","0","0","1","13.2","13.2","0.8%"
"15","Tutu Atwell (LAR)","4","9","50","12.5","37","1","1","1","22","0","0","1","13.2","13.2","9.3%"
"16","A.J. Brown (PHI)","9","14","131","14.6","28","3","0","0","0","0","0","1","13.1","13.1","99.9%"
"17","Robbie Chosen (FA)","1","1","68","68.0","68","1","1","0","0","0","0","1","12.8","12.8","0.0%"
"18","Rondale Moore (ATL)","4","6","8","2.0","8","0","0","3","54","1","0","1","12.2","12.2","5.2%"
"19","Hollywood Brown (KC)","5","7","61","12.2","23","1","1","0","0","0","0","1","12.1","12.1","79.0%"
"20","Mike Evans (TB)","5","10","60","12.0","24","2","1","0","0","0","0","1","12.0","12.0","98.1%"
"21","Olamide Zaccheaus (WAS)","2","3","58","29.0","34","2","1","0","0","0","0","1","11.8","11.8","0.1%"
"22","Christian Kirk (JAC)","4","6","54","13.5","26","1","1","0","0","0","0","1","11.4","11.4","70.8%"
"23","DK Metcalf (SEA)","6","8","112","18.7","34","3","0","0","0","0","0","1","11.2","11.2","98.5%"
"24","Courtland Sutton (DEN)","8","11","91","11.4","25","2","1","0","0","0","2","1","11.1","11.1","83.0%"
"25","Stefon Diggs (HOU)","8","12","111","13.9","30","3","0","0","0","0","0","1","11.1","11.1","99.7%"
"26","Joshua Palmer (LAC)","4","7","66","16.5","30","2","1","0","0","0","1","1","10.6","10.6","24.5%"
"27","Amon-Ra St. Brown (DET)","9","12","102","11.3","20","1","0","1","4","0","0","1","10.6","10.6","100.0%"
