id,uid,guid,sport,firstName,lastName
8439,s:20~l:28~a:8439,5fbab03e-2816-55ab-ae10-83b132803d9e,football,Aaron,Rodgers
9614,s:20~l:28~a:9614,7abc1c9a-070f-b0ad-e960-01f97257da80,football,Marcedes,Lewis
10621,s:20~l:28~a:10621,67ed31e6-dcac-19ba-0e1e-54a343bea611,football,Nick,Folk
11122,s:20~l:28~a:11122,f1fc54b1-e16f-4350-d2f6-8679d6ed2f14,football,Matt,Prater
11252,s:20~l:28~a:11252,cfd567df-191e-29cf-0dc6-0bcf84085135,football,Joe,Flacco
11260,s:20~l:28~a:11260,2f3fcd13-c83f-5204-14ab-31ecaa5d94aa,football,Duane,Brown
11284,s:20~l:28~a:11284,91ff5c77-5177-02bd-cc67-d131f591941b,football,Calais,Campbell
11387,s:20~l:28~a:11387,b5624332-1687-c42f-b726-09ff8e5efa32,football,Matthew,Slater
11759,s:20~l:28~a:11759,2f803e1c-e09b-3f13-da8b-2ca47ee0c0be,football,JJ,Jansen
12460,s:20~l:28~a:12460,4fd13cc4-8ca4-641a-365e-b5817a2886a6,football,Graham,Gano
12477,s:20~l:28~a:12477,50d1f22b-6d2e-4128-8a25-310f927c1565,football,Brian,Hoyer
12483,s:20~l:28~a:12483,20c41c33-a33f-6dc2-7e1f-0771e39ce49a,football,Matthew,Stafford
12701,s:20~l:28~a:12701,3c7f3792-85a1-9c80-4854-d8e4374508d9,football,Thomas,Morstead
13232,s:20~l:28~a:13232,64f45010-b2ac-8308-1ec8-22b44e2ee1ba,football,Jimmy,Graham
13239,s:20~l:28~a:13239,5a7b8433-2467-67bb-e590-bb6bf4415958,football,Brandon,Graham
13245,s:20~l:28~a:13245,b06c5f07-ec2d-73fe-6ae3-296010adc76b,football,Jerry,Hughes
13254,s:20~l:28~a:13254,8742ec8f-2ca8-7252-5ac9-e83940dd9a9b,football,Kareem,Jackson
13256,s:20~l:28~a:13256,c57e8928-025b-5993-96a3-5f23db5cffcf,football,Jason,Pierre-Paul
13281,s:20~l:28~a:13281,309c6572-bd44-1194-d56e-e3f0a884cb52,football,Linval,Joseph
13493,s:20~l:28~a:13493,7169db64-6e42-d31e-1ac8-7a45c8dc8199,football,Al,Woods
13848,s:20~l:28~a:13848,e8d10436-5532-8e21-0233-b027ca12f29f,football,Morgan,Cox
13971,s:20~l:28~a:13971,cfd6d317-0d17-cb31-2766-cd6062d001e4,football,Cameron,Jordan
13976,s:20~l:28~a:13976,cb2f0b03-ac0e-cf36-34c0-e590898cab6c,football,Von,Miller
13977,s:20~l:28~a:13977,712b78be-6085-d619-137e-3179c2c4c1f4,football,Cameron,Heyward
13980,s:20~l:28~a:13980,8a6ed619-5ef4-88e7-b2b3-44938ef8591b,football,Patrick,Peterson
13982,s:20~l:28~a:13982,60c39f46-3690-2f4d-6a78-0ca8da6a057c,football,Julio,Jones
13987,s:20~l:28~a:13987,a65a5384-5d9e-2ab3-518c-374ec13b8a9a,football,Blaine,Gabbert
14012,s:20~l:28~a:14012,10080fc5-c043-a458-e54d-428c18555089,football,Andy,Dalton
14048,s:20~l:28~a:14048,342a90ab-d14b-a481-e9d0-cee9a32c87d3,football,Justin,Houston
14053,s:20~l:28~a:14053,725d4a18-cb7f-1c40-02e5-835c0a557e91,football,Randall,Cobb
14163,s:20~l:28~a:14163,93cc8c92-8d08-5c88-80eb-a0b20a7621d7,football,Tyrod,Taylor
14185,s:20~l:28~a:14185,e8fd37bf-111a-99e6-2933-b03c3e5f474d,football,Lawrence,Guy Sr.
14471,s:20~l:28~a:14471,46c2c280-49f4-8b64-d770-691f016cc669,football,Nick,Bellore
14676,s:20~l:28~a:14676,471a34d5-0572-8776-68d1-82e0feb919a8,football,Jake,McQuaide
14876,s:20~l:28~a:14876,2d6af5dc-b3d3-e2d4-cf72-27d4a8eb93cd,football,Ryan,Tannehill
14880,s:20~l:28~a:14880,53bec012-c2ed-bc7c-a8d5-438611f9faa1,football,Kirk,Cousins
14881,s:20~l:28~a:14881,f0610946-ceb6-9a99-3bcc-cf110b2078b5,football,Russell,Wilson
14931,s:20~l:28~a:14931,88a4172c-aa43-dd68-ee29-df64e5a7f8ac,football,Kevin,Zeitler
14941,s:20~l:28~a:14941,22a756f2-3df9-5d75-3457-138c15b28a75,football,Fletcher,Cox
14942,s:20~l:28~a:14942,ef077811-ba33-18df-c0e4-77f113450e0e,football,Stephon,Gilmore
14945,s:20~l:28~a:14945,db16d7bd-d012-85a3-9ab5-b49cb65b1445,football,Harrison,Smith
14946,s:20~l:28~a:14946,eecb7d8f-98ee-65d1-e30d-c1b2fd255a56,football,Bruce,Irvin
14950,s:20~l:28~a:14950,4a0ad02d-720c-3bf5-52f4-b9b3ca23ce77,football,Bryan,Anger
14958,s:20~l:28~a:14958,87e9c42b-e44f-e088-fce0-cae06ba20349,football,Demario,Davis
14979,s:20~l:28~a:14979,64bf5618-8d27-f5d5-aea5-d13547514fca,football,Bobby,Wagner
14985,s:20~l:28~a:14985,98fee1af-807a-2d5a-c657-8641595f298d,football,Lavonte,David
14993,s:20~l:28~a:14993,f70897fd-7dfa-01bc-6caf-166e058753e9,football,Greg,Zuerlein
15072,s:20~l:28~a:15072,f277c07c-b42f-acd7-8508-e23ce3e738ad,football,Marvin,Jones Jr.
15089,s:20~l:28~a:15089,25091a43-d1f7-c3ae-1904-c4ed6d3f6964,football,Justin,Bethel
15091,s:20~l:28~a:15091,b89c943e-43be-0eb9-b539-63fe9c419670,football,Randy,Bullock
15124,s:20~l:28~a:15124,cc8a4db7-bcb4-8d7c-a9b6-31df844065be,football,Josh,Norman
15151,s:20~l:28~a:15151,a62b2272-d5ea-1988-7baf-49a8d555865d,football,Josh,Harris
15153,s:20~l:28~a:15153,28db7ca1-af24-1fe8-9d94-14c2b4978d1d,football,Johnny,Hekker
15168,s:20~l:28~a:15168,8d0f04b5-96e8-6985-13e2-0fa770882d9c,football,Case,Keenum
15222,s:20~l:28~a:15222,eec644ac-b98d-41cb-666b-5297df8fd412,football,Rodney,McLeod
15235,s:20~l:28~a:15235,ac1126ad-b64e-c846-8870-bd708ba586f6,football,Tashaun,Gipson Sr.
15379,s:20~l:28~a:15379,389c4c81-2eed-ebf1-f8f6-433670734fc4,football,Charley,Hughlett
15478,s:20~l:28~a:15478,247af8c0-aa5e-3463-247e-45725a5b5391,football,Brandon,Bolden
15683,s:20~l:28~a:15683,74d02bd6-921c-484d-94fa-0bccc61e3212,football,Justin,Tucker
15718,s:20~l:28~a:15718,a7ddea19-5b4b-10bf-d3d5-f2e5f900936c,football,Greg,Van Roten
15726,s:20~l:28~a:15726,93cf2a7b-8b01-081e-7ae0-de67a3d2d9b3,football,Andrew,DePaola
15795,s:20~l:28~a:15795,2dd1bd22-50e8-1dcb-8039-c85885c17fab,football,DeAndre,Hopkins
15807,s:20~l:28~a:15807,ac6ca96e-646e-6f9d-c7cd-cabc54fb7617,football,Cordarrelle,Patterson
15808,s:20~l:28~a:15808,f7641b55-40c5-3b2b-b815-e24cf3c0251d,football,Justin,Pugh
15818,s:20~l:28~a:15818,c22ef201-95ad-1740-dd33-3ae06d7e7e68,football,Keenan,Allen
15835,s:20~l:28~a:15835,34bf2037-ed92-60b5-3855-20a3971b837c,football,Zach,Ertz
15839,s:20~l:28~a:15839,788be7f0-783c-ffa5-3791-e9787a8a58cd,football,Marquise,Goodwin
15841,s:20~l:28~a:15841,cf23e6c6-f81e-8c06-b1fc-abb392b5625a,football,Johnathan,Hankins
15842,s:20~l:28~a:15842,f43cc071-f29e-f929-49a4-f05255ffbd51,football,Duron,Harmon
15846,s:20~l:28~a:15846,6555454b-15de-e4b0-db84-19425ff0855a,football,John,Jenkins
15847,s:20~l:28~a:15847,8af09abf-ebb7-2b77-eda0-f0dfead48cd6,football,Travis,Kelce
15851,s:20~l:28~a:15851,1e492d51-d3bf-b765-6d38-6ec53d1043a5,football,Tyrann,Mathieu
15861,s:20~l:28~a:15861,730f7b97-62c9-e3c9-2845-34eb1739b9b0,football,Logan,Ryan
15863,s:20~l:28~a:15863,c140911d-2389-b320-d8ee-845096659546,football,Darius,Slay
15864,s:20~l:28~a:15864,593e3c58-2b92-e0f1-f4a8-84215e27f023,football,Geno,Smith
15880,s:20~l:28~a:15880,79d3c50c-7a9f-908c-b96f-062ac53ec7d4,football,Robert,Woods
15920,s:20~l:28~a:15920,43d37aac-9f8a-ac21-88bf-9043336864ff,football,Latavius,Murray
15928,s:20~l:28~a:15928,881ea65e-9ad0-3325-42c0-cb3a1c2d7958,football,Sam,Martin
15946,s:20~l:28~a:15946,7cd30153-5d99-02f0-0da2-09a3522569d6,football,David,Quessenberry
15960,s:20~l:28~a:15960,19111ecb-5b82-6644-14cb-268e04b8a669,football,Micah,Hyde
15965,s:20~l:28~a:15965,31868d6f-9595-0e9b-5f7b-43322600b517,football,Dustin,Hopkins
15979,s:20~l:28~a:15979,3d6f36b4-29b7-50f3-bf5b-0f68fccdb369,football,Jordan,Poyer
16002,s:20~l:28~a:16002,b325648c-02db-e176-0357-6afed508ef50,football,Kyle,Juszczyk
16019,s:20~l:28~a:16019,8bacbd31-539b-3214-b1c5-9bb8b98e5345,football,William,Gholston
16166,s:20~l:28~a:16166,a360d20b-5edc-4103-c34e-f3af6a1535f7,football,Tress,Way
16241,s:20~l:28~a:16241,f84e35c9-4d29-326f-00fd-6ce0c64da3a8,football,Brad,Wing
16286,s:20~l:28~a:16286,8e6e813c-6826-b69c-f486-9794f7b961e7,football,Cody,Davis
16339,s:20~l:28~a:16339,c1653a6e-1514-fac4-f878-14f25665b80d,football,Brandon,McManus
16377,s:20~l:28~a:16377,1217c118-f91a-d69a-f85e-4c6584e9e13a,football,Mike,Purcell
16460,s:20~l:28~a:16460,5adc61f3-6272-bb83-f2f5-97987ddf255f,football,Adam,Thielen
16486,s:20~l:28~a:16486,1a9c2e98-2b15-ddce-c861-41c276b6d3fb,football,Brett,Maher
16665,s:20~l:28~a:16665,a0122c51-2cbc-a5b2-32d3-89c5a544fa99,football,James,Winchester
16710,s:20~l:28~a:16710,ff7e62d0-e888-72c8-ffe6-2d189c5ecdd2,football,Khalil,Mack
16711,s:20~l:28~a:16711,a1cdc188-6359-86d6-8341-221180ab7e3b,football,Anthony,Barr
16716,s:20~l:28~a:16716,70b6df7b-3187-9baa-b6f7-b9ce5849dc5b,football,Aaron,Donald
16717,s:20~l:28~a:16717,254fc782-ec4f-1463-45af-75670711988a,football,Jimmie,Ward
16719,s:20~l:28~a:16719,c2c6563f-2f3d-79ce-a551-a486f5970a76,football,Bradley,Roby
16720,s:20~l:28~a:16720,2978e307-2dae-cd75-c7c3-45c076506186,football,C.J.,Mosley
16728,s:20~l:28~a:16728,4e962f52-92a9-5839-fa4f-f68ffbedc962,football,Teddy,Bridgewater
16731,s:20~l:28~a:16731,e6108d57-ec3b-2e99-7260-781af58bb13c,football,Brandin,Cooks
16733,s:20~l:28~a:16733,5d48f58b-0d2b-a3bc-6230-ed9284c7158a,football,Odell,Beckham Jr.
16734,s:20~l:28~a:16734,83ac3366-4399-7649-44a1-2a77437351a6,football,Jadeveon,Clowney
16737,s:20~l:28~a:16737,5073fc58-91c1-4e3d-826d-af754f9f40c7,football,Mike,Evans
16740,s:20~l:28~a:16740,002f6f21-080f-a07d-a278-c2b33972a639,football,Joel,Bitonio
16757,s:20~l:28~a:16757,50d25930-fd5f-311d-d932-13e5ab467ff7,football,Derek,Carr
16760,s:20~l:28~a:16760,1d58c054-8e0e-1f6e-7267-02ec9679f43f,football,Jimmy,Garoppolo
16772,s:20~l:28~a:16772,8a28bb7f-d7c4-94d0-a6e2-258deeac6377,football,Kyle,Van Noy
16782,s:20~l:28~a:16782,56028404-7e40-ba85-fc4b-b35635f33c7d,football,Jerick,McKinnon
16799,s:20~l:28~a:16799,ac88c53f-f7ee-48ca-bb7a-e06a89ed6446,football,Allen,Robinson II
16800,s:20~l:28~a:16800,d287bc03-47c2-c7f6-6160-e4280c80d2e2,football,Davante,Adams
16802,s:20~l:28~a:16802,d261b9e9-4068-8758-68d7-9661bf985195,football,DeMarcus,Lawrence
16810,s:20~l:28~a:16810,d06f3109-b034-d70b-fe8a-34cb5f1aea73,football,AJ,McCarron
16813,s:20~l:28~a:16813,107276cf-1865-c106-aa0c-0f12f8f99a82,football,Logan,Thomas
16831,s:20~l:28~a:16831,cb410f4a-b269-8466-2586-2a67f21b9521,football,Brent,Urban
16837,s:20~l:28~a:16837,b02d0fd9-27af-e28f-6a39-736a008b624a,football,Shelby,Harris
16910,s:20~l:28~a:16910,8bce7093-0709-5622-200f-6361ae57d283,football,DaQuan,Jones
16967,s:20~l:28~a:16967,8ce9c242-2bf8-eb65-4101-c278e00b0d61,football,Shaquil,Barrett
17068,s:20~l:28~a:17068,a167f86d-689d-d005-970a-2291e0ac3cac,football,Kerry,Hyder Jr.
17178,s:20~l:28~a:17178,e47ecb88-b2b8-674d-e306-4326a37175f6,football,James,Hurst
17196,s:20~l:28~a:17196,ca02c5db-d5e0-d49d-811b-aa70475d5056,football,Tyler,Larsen
17230,s:20~l:28~a:17230,6c2e66d7-8949-a539-553d-0e7daab77abc,football,Mike,Pennel Jr.
17258,s:20~l:28~a:17258,948e2a8b-12dc-3ef4-e732-b6f1710af00c,football,Willie,Snead IV
17304,s:20~l:28~a:17304,48cc75f5-5e89-9b6e-ca9a-3dbdf8436bbf,football,Casey,Kreiter
17315,s:20~l:28~a:17315,cf0b229c-2fcd-a9ff-8a84-07bc44a9e2ac,football,Keith,Smith
17359,s:20~l:28~a:17359,9d01c5ed-50f8-7739-a848-dbfedaaaeb9b,football,Damien,Williams
